,Username,Keyword,Tweet,Sentiment,Overal Sentiment,Unnamed: 5
0,celestialrandy,jokowi,Jokowi -Bibit Sepakat Cooling Down Polemik Saripetojo http://dlvr.it/YzY1T,Positive,completely supportive,
1,celestialrandy,djarot,"NAKED RT @Shuffle_Words : -__-"" RT @_ djarot DEKAN RT"" @RobyAshton : NEKAD!! RT @Shuffle_Words : K-E-N-D-A *Tanpa busana*""",Positive,completely supportive,
2,celestialrandy,anies,Anies Baswedan: Tindakan politik Jangan Mendahului Hukum http://dlvr.it/fxxst,Neutral,neutral,
3,celestialrandy,anies,"Anies Baswedan: Marzuki Alie di Pihak Mana, Koruptor? http://dlvr.it/d8XhK",Neutral,,
4,celestialrandy,sandi,@sanggitayuKDW haha sandi dateng,Neutral,completely opposing,
5,celestialrandy,sandi,@SialBenerBanget sbenernya si sandi ngomong apasih smpe2 tiap mau log in ada 'lupa kata sandi ',Negative,,
6,celestialrandy,sandi,"Yulianis Jelaskan Makna Sandi \\""Apel Malang\\"": Dalam sidang lanjutan kasus dugaan suap Wisma Atlet dengan terd... http://bit.ly/pg862z",Neutral,,
7,celestialrandy,sandi,Sapadong RT @sanggitakidiw: Bukannnnn x( RT @celestialran7x : @sanggitakidiw brati sandi,Neutral,,
8,celestialrandy,sandi,Sandi Culik Kiki karena Cinta Mati http://dlvr.it/XbZkJ,Negative,,
9,celestialrandy,Wiranto,"Wiranto : Negara Adil Sejahtera, Terorisme Berkurang http://dlvr.it/bVNDt",Positive,leanly towards supportive,
10,celestialrandy,Wiranto,Wiranto : Punya Intel  &  Penegak Hukum Kok Nazaruddin Susah Ditangkap? http://dlvr.it/ZXCsk,Neutral,,
11,celestialrandy,Wiranto,"Wiranto : Kalau Mau Sederhanakan Partai, Tetapkan PT 30 Persen Sekalian http://dlvr.it/ZWXNZ",Neutral,,
12,celestialrandy,Wiranto,"Wiranto : Dewie Yasin Limpo Itu Obyek, Hanura Siap Bongkar http://dlvr.it/ZWP0S",Neutral,,
13,celestialrandy,Wiranto,Wiranto : Hanura Pilih 3% Parliamentary Threshold http://dlvr.it/WZKMW,Neutral,,
14,celestialrandy,setnov,Jadi kamu anaknya setnov,Neutral,neutral,
15,celestialrandy,prabowo,Gerindra: Mimpi untuk Jadikan Prabowo Sebagai Presiden Semakin Dekat http://dlvr.it/f8TMC,Positive,completely supportive,
16,celestialrandy,prabowo,Gerindra: Sri Mulyani Bukan Saingan Prabowo http://dlvr.it/dlMDf,Positive,,
17,celestialrandy,sby,Sby galau,Negative,leanly towards supportive,
18,celestialrandy,sby,afika vs sby lagi http:// twitpic.com/8rb89g,Neutral,,
19,celestialrandy,sby,Iyo hehe RT @PendudukNgapak : Berarti pada mudeng. hehe Re: @celestialran7x Kemaren aku liat di Pwt pada demo nuntut sby mas rame,Negative,,
20,celestialrandy,sby,Kemaren aku liat di Pwt pada demo nuntut sby mas rame RT @PendudukNgapak : Raport SBY merah? ujarku malah ora bisa mlebu raport anu nilaine o,Positive,,
21,celestialrandy,sby,"Kalau saya dipanggil pak SBY ,saya gak akan noleh|Wih sombong | panggilan saya bukan pak SBY ,tapi pak Budi!",Neutral,,
22,celestialrandy,sby,RT @dewiembul : RT @rizkypradh RT @dewiembul : SBY lgi di purwokerto ya? Have fun yaa pak Presiden :),Positive,,
23,celestialrandy,sby,ada sby di purwokerto,Neutral,,
24,celestialrandy,sby,JK: Pidato SBY Sesuai Kondisi yang Terjadi http:// dlvr.it/gQMkL,Positive,,
25,celestialrandy,sby,"Taufiq Kiemas: SBY Menjual Mimpi: Kata dia, segala sesuatu memang berawal dari mimpi. http:// bit.ly/otbSjB",Positive,,
26,celestialrandy,sby,"IHSG \\""Bantah\\"" Pernyataan SBY : Pernyataan Presiden SBY yang menyebutkan perekonomian Indonesia tidak akan te... http:// bit.ly/paaYzb",Neutral,,
27,celestialrandy,sby,Wakil Ketua FPAN DPR Nilai Pidato Kenegaraan SBY Masih Normatif http:// dlvr.it/gPcgB,Negative,,
28,celestialrandy,sby,"SBY : Menata dengan Hati, Kunci Sukses Pembangunan Papua http:// dlvr.it/gPJlT",Positive,,
29,celestialrandy,Surya Paloh,"Surya Paloh Mengaku Tak Berminat Nyapres: Selain agenda pemilihan presiden masih lama, pencalonan dirinya sebaga... http://bit.ly/rrfxwx",Neutral,leanly towards supportive,
30,celestialrandy,Surya Paloh,Surya Paloh Merasa Kehilangan Sosok Sultan HB X: Keluarnya Sultan Hamengkubuwono X dari Nasional Demokrat (Nasde... http://bit.ly/ooogVM,Neutral,,
31,celestialrandy,Surya Paloh,"Surya Paloh Tegaskan Golkar Sebagai Partainya: Di sisi lain, dia juga mengakui partainya yang paling gencar mena... http://bit.ly/qLNIl1",Neutral,,
32,celestialrandy,Surya Paloh,Paloh Persilakan Kader Nasdem Memilih: Surya Paloh lmemberikan kebebasan pada anggota ormas dari parpol untuk me... http://bit.ly/oqqnFF,Positive,,
33,celestialrandy,Surya Paloh,Surya Paloh Persilakan Anggota Nasdem Keluar: Surya Paloh mengatakan tidak ingin membuat anggotanya dalam posisi... http://bit.ly/ojg8aB,Positive,,
34,celestialrandy,Surya Paloh,Priyo Berharap Surya Paloh Kembali ke Golkar: Priyo mengakui bahwa pendiri Ormas Nasdem merupakan kader istimewa... http://bit.ly/n5Sbxx,Neutral,,
35,celestialrandy,Surya Paloh,Priyo Harap Surya Paloh dkk Kembali ke Golkar http://dlvr.it/cdGP3,Neutral,,
36,celestialrandy,Surya Paloh,Partai NasDem Masih Andalkan Duit Surya Paloh http://dlvr.it/cMQJL,Neutral,,
37,celestialrandy,Surya Paloh,Surya Paloh Tolak Komentari Ultimatum Kader Golkar ke Nasdem http://dlvr.it/bP4YR,Neutral,,
38,celestialrandy,Surya Paloh,Surya Paloh Pernah Diperingatkan Soal Kemiripan 2 Nasdem http://dlvr.it/ZQKy2,Neutral,,
39,celestialrandy,Surya Paloh,"Akbar Faizal: Kesepakatan dengan Surya Paloh , Nasdem Tak Berpolitik http://dlvr.it/ZFSGS",Neutral,,
