Unnamed: 0,Username,Keyword,Tweet,Sentiment,Overal Sentiment,Unnamed: 5
0,celestialrandy,jokowi,jokowi -bibit sepakat cooling dewi polemik saripetojo http:/dlvr.it/yzy1t,Positive,completely supportive,
1,celestialrandy,djarot,"naked at @shuffle_words : -__-"" at _ djarot makan at @robyashton : nekad! at @shuffle_words : k-e-n-d-a tanya busana*""",Positive,completely supportive,
2,celestialrandy,akses,akses baswedan: tindakan politik jangan mendahului hukum http:/dlvr.it/fxxst,Neutral,neutral,
3,celestialrandy,akses,akses baswedan: marzuki kali di pikuk malam koruptor? http:/dlvr.it/d8xhk,Neutral,,
4,celestialrandy,and,@sanggitayukdw harga and bareng,Neutral,completely opposing,
5,celestialrandy,and,@sialbenerbanget sbenernya di and ngomong apasih smpe2 siapa mau long ini ada 'lupa kota and ',Negative,,
6,celestialrandy,and,"yulianis jelaskan makan and \\""apel malang\\"": dalam siang lanjutan akses dugaan siapa lima atlet denganmu terus http:/bit.ly/pg862z",Neutral,,
7,celestialrandy,and,sapadong at @sanggitakidiw: bukannnnn at at @celestialran7x : @sanggitakidiw brati and,Neutral,,
8,celestialrandy,and,and kulit kaki rena nita at http:/dlvr.it/xbzkj,Negative,,
9,celestialrandy,wiranto,"wiranto : negara di sejahtera, terorisme berkurang http:/dlvr.it/bvndt",Positive,leanly towards supportive,
10,celestialrandy,wiranto,wiranto : punya hotel at penegak hukum ke nazaruddin sudah ditangkap? http:/dlvr.it/zxcsk,Neutral,,
11,celestialrandy,wiranto,"wiranto : jalan mau sederhanakan partai, tetapkan at 3 persen sekali http:/dlvr.it/zwxnz",Neutral,,
12,celestialrandy,wiranto,"wiranto : dewi main lima itu obyek, hanura siapa bongkar http:/dlvr.it/zwp0s",Neutral,,
13,celestialrandy,wiranto,wiranto : hanura pilih 3 parliamentary threshold http:/dlvr.it/wzkmw,Neutral,,
14,celestialrandy,setyo,di kamu anaknya setyo,Neutral,neutral,
15,celestialrandy,prabowo,gerindra: mimpi untuk jadikan prabowo sebagai presiden semakin lewat http:/dlvr.it/f8tmc,Positive,completely supportive,
16,celestialrandy,prabowo,gerindra: di mulyani bulan jangan prabowo http:/dlvr.it/dlmdf,Positive,,
17,celestialrandy,by,by jalan,Negative,leanly towards supportive,
18,celestialrandy,by,apik at by lagi http:/ twitpic.com/8rb89g,Neutral,,
19,celestialrandy,by,ayo heu at @pendudukngapak : berarti pada mudeng. heu ke @celestialran7x kemaren aku liat di at pada dewi nuntut by mas rame,Negative,,
20,celestialrandy,by,kemaren aku liat di at pada dewi nuntut by mas rame at @pendudukngapak : raport by murah ujarku malam sore bisa mlebu raport and nilaine at,Positive,,
21,celestialrandy,by,jalan saya dipanggil gak by saya gak makan noleh|wih sombong at panggilan saya bulan gak by sapi gak budi!,Neutral,,
22,celestialrandy,by,at @dewiembul : at @rizkypradh at @dewiembul : by lagi di purwokerto at sate dan at gak presiden at,Positive,,
23,celestialrandy,by,ada by di purwokerto,Neutral,,
24,celestialrandy,by,ke padat by semua kondisi yang terjadi http:/ dlvr.it/gqmkl,Positive,,
25,celestialrandy,by,taufiq kiemas: by menjual mimpi: kota di sekali sesuatu malang berawal dari mimpi. http:/ bit.ly/otbsjb,Positive,,
26,celestialrandy,by,"ihsg \\""bantah\\"" pernyataan by : pernyataan presiden by yang menyebutkan perekonomian indonesia tidak makan ke http:/ bit.ly/paayzb",Neutral,,
27,celestialrandy,by,kaki semua dan di nira padat kenegaraan by mas normatif http:/ dlvr.it/gpcgb,Negative,,
28,celestialrandy,by,"by : kenapa denganmu hati, kunci akses pembangunan pada http:/ dlvr.it/gpjlt",Positive,,
29,celestialrandy,saya kalo,saya kalo mengaku tau berminat nyapres: sisain agenda pemilihan presiden mas lima pencalonan dirinya sebaga. http:/bit.ly/rrfxwx,Neutral,leanly towards supportive,
30,celestialrandy,saya kalo,saya kalo terasa kehilangan besok bulan at at keluarnya bulan hamengkubuwono at dari nasional demokrat (nasde. http:/bit.ly/ooogvm,Neutral,,
31,celestialrandy,saya kalo,saya kalo tegaskan golkar sebagai partainya: di sisi main di jogja mengakui partainya yang malang gencar rena http:/bit.ly/qlnil1,Neutral,,
32,celestialrandy,saya kalo,kalo persilakan adem ngadem memilih: saya kalo lmemberikan kebebasan pada anggota mas dari parpol untuk mal http:/bit.ly/oqqnff,Positive,,
33,celestialrandy,saya kalo,saya kalo persilakan anggota ngadem keluar: saya kalo mengatakan tidak ini membuat anggotanya dalam posisi. http:/bit.ly/ojg8ab,Positive,,
34,celestialrandy,saya kalo,priyo berharap saya kalo kembali ke golkar: priyo mengakui jawa sendiri mas ngadem merupakan adem istimewa. http:/bit.ly/n5sbxx,Neutral,,
35,celestialrandy,saya kalo,priyo harga saya kalo di kembali ke golkar http:/dlvr.it/cdgp3,Neutral,,
36,celestialrandy,saya kalo,pasti ngadem mas andalkan di saya kalo http:/dlvr.it/cmqjl,Neutral,,
37,celestialrandy,saya kalo,saya kalo tidak komentari ultimatum adem golkar ke ngadem http:/dlvr.it/bp4yr,Neutral,,
38,celestialrandy,saya kalo,saya kalo pernah diperingatkan mal kemiripan 2 ngadem http:/dlvr.it/zqky2,Neutral,,
39,celestialrandy,saya kalo,"alba faizal: kesepakatan denganmu saya kalo , ngadem tau berpolitik http:/dlvr.it/zfsgs",Neutral,,
40,celestialrandy,dari hamzah,dari hamzah ragukan kemampuan 10 cape ke http:/dlvr.it/fszkm,Neutral,neutral,
41,celestialrandy,dari hamzah,dari hamzah : pemilih pic malang gampang tidak khas http:/dlvr.it/xtllr,Neutral,,
42,celestialrandy,malam,hoamrt @ardinsyh : mas seng?-____-rt @celestialran7x : anjirrt @ardinsyh : @celestialran7x ayam kaki dan malam protestan kan?-_____-,Negative,leanly opposing,
43,celestialrandy,malam,fa -_-rt @celestialran7x : anjirrt @ardinsyh : @celestialran7x ayam kaki dan malam protestan kan?-_____-,Negative,,
44,celestialrandy,malam,anjirrt @ardinsyh : @celestialran7x ayam kaki dan malam protestan kan?-_____-,Negative,,
45,celestialrandy,malam,"aku jogja baru tau ke "" @ardinsyh : @celestialran7x yang kakanya malam ? baru tau=d""",Positive,,
46,celestialrandy,malam,harga apaiya?:p at @puspitaasr : dan dari saya saya dan sih makan and hehert @celestialran7x : lelah pada tanya aku malam ada bulan _ malam,Neutral,,
47,celestialrandy,malam,lelah pada tanya aku malam ada bulan _ malam ke yaawloh at @puspitaasr : di ke di ke di malam bkn?rt @celestialran7x : sholat di shola,Neutral,,
48,celestialrandy,malam,pic obrak-abrik warung makan front pembela malam (fpi) kembali merazia sejumlah warung makan yang mas berjual. http:/bit.ly/ngvbgn,Negative,,
49,celestialrandy,malam,"maribeth kerang itu pasar meski bulan pemeluk ayam malam , maribeth mengaku senang denganmu suasana ramadan di . http:/bit.ly/qbsujt",Neutral,,
50,celestialrandy,malam,burhanuddin muhtadi kecewakan wartawan: pengamat politik mal universitas malam negeri (uin) syarif hidayatulla. http:/bit.ly/qf8som,Negative,,
51,celestialrandy,malam,hasyim muzadi: negara malam tanya alternatif http:/dlvr.it/fnq4s,Neutral,,
52,celestialrandy,malam,but bandung organisasi malam kampanyekan deradikalisasi pelaku terus http:/dlvr.it/fl4w4,Neutral,,
53,celestialrandy,malam,syarifuddin bulan doyan universitas malam sumut: syarifuddin merupakan alumnus fakultas hukum universitas malam . http:/bit.ly/onuhab,Neutral,,
54,celestialrandy,malam,"sebar ayam malam , keraton sore but alquran jawa penyebaran ayam malam di indonesia khususnya jawa tengah at http:/bit.ly/nrvfzg",Positive,,
55,celestialrandy,kristen,heu at @deanhh : beneran ke kota temen kaki at at @celestialran7x : nya harga at @deanhh : kristen capean sih kaki ayam (cont) http:/t.co/owwbg,Neutral,leanly opposing,
56,celestialrandy,kristen,tuhkan_- at @hamimanh : kota aku juga.rt @celestialran7x : kota and mukaku makan kristen _,Neutral,,
57,celestialrandy,kristen,robert pattinson ini at full lagi denganmu kristen : saya robert pattinson at kristen stewart melambung setelah di http:/bit.ly/odx1cv,Neutral,,
58,celestialrandy,kristen,miris! siapa kristen ketapang belajar di bengkel mobil http:/dlvr.it/zjhvk,Negative,,
59,celestialrandy,kristen,"inilah ayam yang malang benar: ada ayam yang malang rena di punya ini adalah ayam kristen , ayam islam, ayam http:/bit.ly/mgwlvo",Neutral,,
60,celestialrandy,kristen,mayat-mayat korban pembantaian kristen nigeria kembali ditemukan: polisi nigeria mengeluarkan delapan malam yang http:/bit.ly/ipqgmi,Negative,,
61,celestialrandy,hindu,"jejak perkampungan muslim aku pasar di kali meski mayoritas penduduknya bersama hindu , tahun malam tugas http:/tinyurl.com/3gy2p8u",Neutral,neutral,
62,celestialrandy,hindu,kembali bersyukur kepala yang pencipta: liburan at hindu di kali rabu 6/7/2011 lagi merayakan dari saya galun. http:/bit.ly/on3l3e,Neutral,,
63,celestialrandy,buddha,"ini alasan richard sore ke borobudur sebagai penganut ayam buddha , kedatangan katok hollywood richard sore ke . http:/bit.ly/lonjjq",Neutral,neutral,
64,celestialrandy,ini,#cr7x sore an . hotel sekali dari ini dan dulu http:/ bit.ly/kmlile,Neutral,leanly opposing,
65,celestialrandy,ini,#cr7x pengobatan sapi dari ini http:/ bit.ly/klf7lc,Neutral,,
66,celestialrandy,ini,#cr7x lagi berwajah monyet di ini http:/ bit.ly/jpzhnr,Neutral,,
67,celestialrandy,ini,hahahaha jawa ada at at @dheama : ini ? mending sih di _ at @celestialran7x : iphone ini hahahaha at dheama: doyan at tempat by at,Negative,,
68,celestialrandy,ini,iphone ini hahahaha at @dheama : doyan at tempat by at nya iphone 3 at @celestialran7x : tempat ada at at dheama: ah dikasih malam mau _,Neutral,,
69,celestialrandy,ini,tanya inget yang nira at nonislam saya ini _,Negative,,
70,celestialrandy,ini,aku dipaksa aku kalo aku sore ini st ku mas _ at @moehazzam: wkwk dpggl yuk mas at hahahaha at @celestialran7x,Negative,,
71,celestialrandy,ini,kamu at @kikaracheel : kamu cinart @celestialran7x : lagi ini at @kikaracheel : lagi at,Negative,,
72,celestialrandy,ini,lagi ini at @kikaracheel : lagi at,Neutral,,
73,celestialrandy,ini,at ini merajalela,Negative,,
74,celestialrandy,ini,mal ekonomi terasa di stasiun pondok ini http:/dlvr.it/ctrrx,Neutral,,
75,celestialrandy,ini,imigrasi malam rafie pekerja siang ilegal: tugas imigrasi malam merazia pekerja siang mal ini yang diduga by http:/bit.ly/rmviuy,Negative,,
