text,target,label
turki : keterlibatan hashd shaabi usir isis dari mosul tingkatkan permasalahan : islam times - parlemen turki j ... https://t.co/KpidP0gL2n,isis,negative
@wdinawan @irfan_beik @ jokowi tp saya ga mau bikin cerita kocak tanpa nilai . insya allah ada banyak kebaikan untuk direnungkan di filmnya,jokowi,positive
"@nadyaia hti "" nad.hantu suka gangguin anak kcil , oya , aku tbayang keadaan rmh mu saat malam.sepi senyaaap .. dan dia duduk di depan rumah mu ! !",hti,negative
waduh . kok bs ya ? doi lg d luar rt @nuy_3n : @helvy kompak banget twitnya sama 2 soal gaji ket dpr sm ayah @wisat :) . kayak lg sebelah 2an aja,dpr,positive
anjrit ! hahaha rt @qanitand sok orang islam banget rt @ficocacola : jumatan deh :D,islam,negative
@adit_ting2 oh si merkel critanya ngancem ? cc : sby,sby,negative
@krisnaharefa yang baju kotak-kotak kaya jokowi na .,jokowi,neutral
@bene_dion @babecabiita @fauzaiam @renofenady tapi kata dim_zy si @liongkytan ngga cina tuh .,cina,negative
@tomybabap biar mati aja ! lu tau djarot ? !,djarot,negative
ayo ... siap jihad bela adzan ... ! ! ! * hrs * ® π https://t.co/1IJXg9ejjL,jihad,neutral
"dituduh berzina , seorang wanita dirajam hingga tewas oleh al-qaeda : seorang wanita dirajam hingga tewas oleh m ... https://t.co/DisabYuW70",al-qaeda,negative
mungkin positif untuk indonesia menjadi negara islam dan korupsi berjamaah rt @metro_tv : pks nilai wacana koalisi parpol islam positif,islam,negative
"@sintingbuku lakon "" mencari senyum "" itu pas-nya dibawakan di gedung mpr / dpr , penontonnya mereka :D",dpr,negative
"mknya banyak mujahid yg pergi ke suriah ( syam ) mreka ingin mati sahid , karna syam ( suriah ) nnt adalah benteng umat islam terakhir .",mujahid,positive
"stujuu lol ! rt @ikha_yuliarti : @lalakarmela : ngga apa 2lah kan jarang 2 tu obama dtg , lgan obama ngga dtg jg jkt suka macet kan ? he2",obama,positive
"gmn nih @kammibrawijaya rt @siperubahancom : isis juga menyerang kaum yazidi , siapakah mereka ? http://t.co/DFp2Y03oJh http://t.co/Oia5niS1qL",isis,neutral
wawancara bersama mujahid jabhah al-nusrah mengenai pembebasan bandar di taftanaz http://t.co/lCroswDGkS via @nukeufo89,mujahid,positive
pak @ jokowi _do2 kemudi kapal tua kini di komando anda . tegarlah terus di atas visi misi anda . kuatlah untuk kami semua :),jokowi,positive
"jihad islam : palestina , tingkatkan tangkap tentara israel ! https://t.co/akwYDgA5T5 https://t.co/scnR1AOISQ",jihad,positive
rw @janelahjanedong rt @astiswasti rt @sandraatiya rt @ewitewit rt @aderumnurlyta rt @babecabiita tmulawak beraskencur.mlut ktawak hti hncur,hti,neutral
bayangkan .. kerja keras seorang muslim sdh dpt 2 reward : ampunan allah dan diserupakan dengan mujahid .. ! ( blm trmsk reward material ) ..,mujahid,positive
"#fokus isis di irak , dari teman jadi musuh as : http://t.co/pXlwPU3EFz",isis,neutral
ciri 2 salafusolleh : 1 . sibuk berdakwah / ber jihad smpai x sempat berusaha dimuka bumi .,jihad,positive
@aroom_ai hahaha .. kpan 2 mampir ke gkb 1 lt . 5 ah .. #kode # sandi #atauapalahgitu,sandi,neutral
"metrotv kayaknye tergila-gila sama surya paloh & nasdem ye , . ampe segitunye",surya paloh,neutral
"habib zein : bukan saatnya lagi dialog dengan syiah , tapi saatnya berjihad ! | http://t.co/he0RtW0IBP http://t.co/aMZJLLM9bL",berjihad,positive
"@guzman_sige @yudha_khan @indrajegel goodluck jegel di malaysia , semoga ketemu rios",malaysia,neutral
ouch ! i know how u feel .. gee .. rt @canzone : seperti mh akan jadi duta atau icon fpi . selamat ya jeng !,fpi,positive
"sumpah pemuda masa kini : helowww kami putra putri indonesia , bahasa indonesia ga cuma satu kelesss ~ ~ ~",indonesia,positive
"sama fans isis gw dibilang liberal bahkan penyembah thaghut , sama liberal dibilang isis , gw apaan dong ? ç https://t.co/xUSrEOZaxo",isis,neutral
"rt @arrahmah : gelar pemeriksaan militer , pasukan "" israel "" tangkap warga palestina http://t.co/k1JMAJyTWL balas dg jihad qital",jihad,negative
isis akan muncul benihnya disaat pemerintah tidak pro pada kepentingan asing .,isis,neutral
selamat pak jokowi dan pak jk :) ),jokowi,positive
"rasulullah saw : "" sesiapa yg berusaha mencari rezeki halal utk keluargax , mk ia seperti ber jihad dijalan allah "" . ( al faqih , jld 3 , hal 168 ) .",jihad,positive
serangan syahid mujahid iia di markas musuh di jalalabad tewaskan 55 tentara penjajah dan boneka afghan http://t.co/OAS9TMYwDP,mujahid,negative
"@awwe_ iye we gue buta sama prabowo , gue pengen indonesia punya pemimpin yg pemberani , ga mau di remehin sama negara tetangga kaya sekarang .",prabowo,positive
gue bacanya cepirit - _ - rt @detikcom : cepret ! titiek soeharto foto bareng danpaspampres di lobi mpr http :/ / de.tk/vrb7jj,mpr,neutral
"ama sapa ? santan ? hahahaha :P rw @cutrener : rt @babecabiita : eyang surya paloh pigi bertamu .. ee , aku sayang loh ma kamu ..",surya paloh,positive
... today ! jumat 9 mei 2014 pukul 17.00- 18.00 di masjid al- jihad unpad lantai 2,jihad,neutral
penembak jitu isis tembak mati jurnalis belanda di libya : seorang jurnalis belanda tewas ditembak penembak ji ... https://t.co/z4XTWsz3eC,isis,negative
"surya paloh rw @pritaputriaziz : tapikan td pas nntn liaat cowok tattoan plus brewokan .. aduuuuh nyeraaaaaahh , seksiii abiissssss ! !",surya paloh,positive
kawasan pedalaman damascus . jaish al islam memusnahkan pos kawalan isis di pinggir al zein selatan damsyik . https://t.co/hyIMlDPEeY,isis,negative
"#ensiklopedia ® πtak ada paksaan dalam agama , ® π begitu firman allah dalam qs . al-baqarah : 256 . tak perlu kau paksa orang untuk berbuat baik . maka , sadarkan saja seseorang untuk berbuat baik atau meninggalkan kemunkaran . sulit ? memang ! itulah jihad . https://t.co/l8P02a3vi0",jihad,positive
nonton #insyaallahsah dr novel @achitm bagian dari solidaritas penulis @flpoke & dukungan thdp film indonesia . sukses @pandji @titi_kamall pic.twitter.com/49sbg5j42k,indonesia,positive
pernyataan majelis mujahid tentang : umat islam haram pilih pemimpin kafir https://t.co/dY9cAuHbuh https://t.co/R7VnHH0ssX,mujahid,negative
raddy ibnu jihad - penulis inspiratif kreatif : ketika sakit : https://t.co/1NibNUf8Hd,jihad,positive
"mari sebarkan > dipaksa karang cerita fitnah jihad ® πseksual ® π , wartawan tv lebanon mengundurka ... http://t.co/Kt9duyzCJi | #demokrasimati",jihad,negative
"kalo pake bm boleh gag tuh dul ? rt @bdulmalesmikir : sby dikit lagi juga pake nya "" ri "" ( cont ) http :/ / tl.gd/m4iajf",sby,positive
istirahatnya mujahid dari satuan tanzhim faylaq as shaam yang juga merupakan anggota koalisi satuan ® π https://t.co/3cJXgzt4iC,mujahid,positive
@bangadi @regina_be5t regina itu kristen masa lu suru solat . tuh regina dicariin sama yg kmaren di galaunite yg heboh sendiri,kristen,neutral
"kalo jokowi menang , berarti banyaknya partai yang berkoalisi belum tebtu mewakili suara rakyat",jokowi,negative
"rt @sbyudhoyono : pemilihan umum adalah sebuah kompetisi . berkompetisilah secara sehat , kesatria & penuh upaya . semoga sukses . * sby *",sby,positive
hormat untuk timnas indonesia,indonesia,positive
selamat idul fithri 1435 h dari bumi jihad syam - http://t.co/3m6CcdvXec,jihad,positive
"tak hanya jihad harta , namun juga jihad dg tentara #muslimarmies4gaza",jihad,positive
""" tindakan pro-mujahid kembali di tunjukan oleh israel , benarkah mujahid adalah binaan intelejen israel untuk ... https://t.co/pYdpzFiivt",mujahid,neutral
pak @ jokowi _do2 saya sama temen 2 dukung bapak terus nih . tiap nongkrong ngomongin bapak yg baik 2 . follback pak .,jokowi,positive
yaela min ... yang beginian dibecandin .. rt @liputan9 : breaking : malaysia klaim sebagai pemilik resmi gempa di sumatera,malaysia,negative
"20.ditambah lagi dengan menampilkan ® πbarang bukti ® π berupa buku atau kitab yang membahas seputar jihad dan khilafah . jelas , ini framing . #allahbersamahti #khilafahselamatkanindonesia #antikhilafahantiislam",jihad,positive
