text,target,label
turki : keterlibatan hashd shaabi usir $T$ dari mosul tingkatkan permasalahan : islam times - parlemen turki j ... https://t.co/KpidP0gL2n,isis,-1
@wdinawan @irfan_beik @ $T$ tp saya ga mau bikin cerita kocak tanpa nilai . insya allah ada banyak kebaikan untuk direnungkan di filmnya,jokowi,1
"@nadyaia $T$ "" nad.hantu suka gangguin anak kcil , oya , aku tbayang keadaan rmh mu saat malam.sepi senyaaap .. dan dia duduk di depan rumah mu ! !",hti,-1
waduh . kok bs ya ? doi lg d luar rt @nuy_3n : @helvy kompak banget twitnya sama 2 soal gaji ket $T$ sm ayah @wisat :) . kayak lg sebelah 2an aja,dpr,1
anjrit ! hahaha rt @qanitand sok orang $T$ banget rt @ficocacola : jumatan deh :D,islam,-1
@adit_ting2 oh si merkel critanya ngancem ? cc : sby,sby,-1
@krisnaharefa yang baju kotak-kotak kaya $T$ na .,jokowi,0
@bene_dion @babecabiita @fauzaiam @renofenady tapi kata dim_zy si @liongkytan ngga $T$ tuh .,cina,-1
@tomybabap biar mati aja ! lu tau $T$ ? !,djarot,-1
ayo ... siap $T$ bela adzan ... ! ! ! * hrs * ® π https://t.co/1IJXg9ejjL,jihad,0
"dituduh berzina , seorang wanita dirajam hingga tewas oleh $T$ : seorang wanita dirajam hingga tewas oleh m ... https://t.co/DisabYuW70",al-qaeda,-1
mungkin positif untuk indonesia menjadi negara $T$ dan korupsi berjamaah rt @metro_tv : pks nilai wacana koalisi parpol $T$ positif,islam,-1
"@sintingbuku lakon "" mencari senyum "" itu pas-nya dibawakan di gedung mpr / $T$ , penontonnya mereka :D",dpr,-1
"mknya banyak $T$ yg pergi ke suriah ( syam ) mreka ingin mati sahid , karna syam ( suriah ) nnt adalah benteng umat islam terakhir .",mujahid,1
"stujuu lol ! rt @ikha_yuliarti : @lalakarmela : ngga apa 2lah kan jarang 2 tu $T$ dtg , lgan $T$ ngga dtg jg jkt suka macet kan ? he2",obama,1
"gmn nih @kammibrawijaya rt @siperubahancom : $T$ juga menyerang kaum yazidi , siapakah mereka ? http://t.co/DFp2Y03oJh http://t.co/Oia5niS1qL",isis,0
wawancara bersama $T$ jabhah al-nusrah mengenai pembebasan bandar di taftanaz http://t.co/lCroswDGkS via @nukeufo89,mujahid,1
pak @ $T$ _do2 kemudi kapal tua kini di komando anda . tegarlah terus di atas visi misi anda . kuatlah untuk kami semua :),jokowi,1
"$T$ islam : palestina , tingkatkan tangkap tentara israel ! https://t.co/akwYDgA5T5 https://t.co/scnR1AOISQ",jihad,1
rw @janelahjanedong rt @astiswasti rt @sandraatiya rt @ewitewit rt @aderumnurlyta rt @babecabiita tmulawak beraskencur.mlut ktawak $T$ hncur,hti,0
bayangkan .. kerja keras seorang muslim sdh dpt 2 reward : ampunan allah dan diserupakan dengan $T$ .. ! ( blm trmsk reward material ) ..,mujahid,1
"#fokus $T$ di irak , dari teman jadi musuh as : http://t.co/pXlwPU3EFz",isis,0
ciri 2 salafusolleh : 1 . sibuk berdakwah / ber $T$ smpai x sempat berusaha dimuka bumi .,jihad,1
@aroom_ai hahaha .. kpan 2 mampir ke gkb 1 lt . 5 ah .. #kode # $T$ #atauapalahgitu,sandi,0
"metrotv kayaknye tergila-gila sama $T$ & nasdem ye , . ampe segitunye",surya paloh,0
"habib zein : bukan saatnya lagi dialog dengan syiah , tapi saatnya $T$ ! | http://t.co/he0RtW0IBP http://t.co/aMZJLLM9bL",berjihad,1
"@guzman_sige @yudha_khan @indrajegel goodluck jegel di $T$ , semoga ketemu rios",malaysia,0
ouch ! i know how u feel .. gee .. rt @canzone : seperti mh akan jadi duta atau icon $T$ . selamat ya jeng !,fpi,1
"sumpah pemuda masa kini : helowww kami putra putri $T$ , bahasa $T$ ga cuma satu kelesss ~ ~ ~",indonesia,1
"sama fans $T$ gw dibilang liberal bahkan penyembah thaghut , sama liberal dibilang $T$ , gw apaan dong ? ç https://t.co/xUSrEOZaxo",isis,0
"rt @arrahmah : gelar pemeriksaan militer , pasukan "" israel "" tangkap warga palestina http://t.co/k1JMAJyTWL balas dg $T$ qital",jihad,-1
$T$ akan muncul benihnya disaat pemerintah tidak pro pada kepentingan asing .,isis,0
selamat pak $T$ dan pak jk :) ),jokowi,1
"rasulullah saw : "" sesiapa yg berusaha mencari rezeki halal utk keluargax , mk ia seperti ber $T$ dijalan allah "" . ( al faqih , jld 3 , hal 168 ) .",jihad,1
serangan syahid $T$ iia di markas musuh di jalalabad tewaskan 55 tentara penjajah dan boneka afghan http://t.co/OAS9TMYwDP,mujahid,-1
"@awwe_ iye we gue buta sama $T$ , gue pengen indonesia punya pemimpin yg pemberani , ga mau di remehin sama negara tetangga kaya sekarang .",prabowo,1
