text,target,label
"cc @ fpi _rawabokor "" @imam_iry : ya ampun rigen , mentang "" udh terkenal skrg dia brani becanda sama malaikat , , :( """,fpi,negative
"#ensiklopedia ® πtak ada paksaan dalam agama , ® π qs . al-baqarah : 256 . tak perlu kau paksa orang untuk berbuat baik atau meninggalkan kemunkaran.sadarkan saja seseorang untuk berbuat baik atau meninggalkan kemunkaran . sulit ? memang ! itulah jihad . https://t.co/l8P02a3vi0",jihad,positive
selamat buat singapura yg udah jadi juara aff cup 2012 . :D,singapura,positive
salah satu golongan yang akan ke neraka ialah mereka ber jihad bukan kerana allah tapi untuk perhatian semata-mata . moga kita dijauhkan .,jihad,negative
"terimakasih @rabbani malaysia , kostum saya saat acara di universitas islam antarbangsa , malaysia . rabbani pilihan saya sejak dulu .",malaysia,positive
"@m_fu4d gue pernah nanya sama anggota kpk , katanya "" tunggu tanggal mainnya , dia masih jadi orang nomer satu , , dia gampang ngilangin bukti """,kpk,negative
perang makin brutal . ya allah selamatkan saudaraku d gaza ... tolonglah para mujahid d jalan-mu ... ya allah hancurkan barisan tentara israel ...,mujahid,positive
semoga allah mengampuni dosa serta mengurniakan kematian yang mulia bagimu wahai bapa jihad moden . insha allah http://t.co/lO7Oy4RGx4,jihad,positive
"mujahid mohon maaf atas kenyataan yang mengelirukan kuala lumpur - selepas mengadakan satu sidang akhbar yang menggemparkan dengan wakil transgender , nisha ayub pada minggu lepas , menteri di ... https://t.co/Ky5ZSKHlj3",mujahid,positive
cherrybelle tuh identik sama anisa . cherrybelle tanpa anisa tuh kaya fpi tanpa rusuh,fpi,neutral
rt @briankhrisna : @gepamungkas isis ? pic.twitter.com/csnzomadsk,isis,negative
"ibu gua org filipina , bapak-jawa .. rt @ebil_gracker : @lalakarmela la lo asli pribumi ga ? rep rep pliss penting",filipina,neutral
"61. isis mereka gambarkan sebagai khilafah dan khilafah adalah isis . dengan sepak terjang isis yang kontroversial , bengis dan kejam , mereka berharap publik menyimpulkan bahwa itulah khilafah . #allahbersamahti #khilafahselamatkanindonesia #antikhilafahantiislam",isis,negative
"* pendaftaran kader mujahid dakwah 7 * ` ` ` "" seluruh ucapan , perbuatan dan perjuangan seorang ® π https://t.co/wpNoJXKL7e",mujahid,neutral
"rt @timurtengah1 abdrabuh mansur hadi , janji perangi al qaeda http://t.co/1PfbO32T",al qaeda,negative
semoga yang berjihad 4 n0vember di jaga kesehatannya . selalu dilindungi oleh alloh . dan saya yakin pasti mereka ... https://t.co/iiIPQ7JmHI,berjihad,neutral
foto konfrensi pers tolak isis . http://t.co/rVWLy8ZN3n,isis,positive
tidak ada jihad yang lebih berat dari menjaga lisan . ( fudhail bin ' iyadh ),jihad,positive
"pak tito ini bagus cara dia menyampaikan suatu hal . santai , tenang , jelas , tegas , dan tidak menyakiti . good .",pak tito,positive
kan uda dibilang disumut ! ! ! klo org pinter uda ngerti . rw @479aldri dprd bkn dpr ! ! rt,dpr,negative
abaikan tuntutan simpatisan isis yang minta indonesi berlakubkeras terhadap rezim militer myanmar . mosok manut wong goblog .,isis,negative
"isis mulai trdesak kehilangan kota yg sempat didudukinya , mereka mulai melakukan aksi individual , teror bom hingga penyerangan #aiman https://t.co/G2IV36vC49",isis,negative
"kapolri : 500 wni berhasil lolos ke suriah gabung isis : islam times - "" dalam beberapa bulan ada puluhan yang d ... https://t.co/vgsSPL08XN",isis,positive
"2.rasulullah saw menjawab , iya , dia wajib ber jihad tanpa ada peperangan didalamnya , yaitu dengan haji dan umarah . ( hr . ibnu majah 2901 )",jihad,positive
"topeng jihad jihad : ancaman "" islamic state "" dimalaysia . http://t.co/OB8Xa0xbAI 3118949982 , topeng jihad , tue mar 31 08:02 : 00 +0000 2015 , jihad",jihad,neutral
isis dikabarkan membunuhi mujahidin di homs http://t.co/dx62rSYq9U lewat @sharethis . kalau berita ini betul ... betapa biadapnya isis .,mujahidin,negative
"hima esp unpad proudly present "" infaq talaqi "" . jumat 25 okt 2013 @ . mesjid al- jihad unpad lt . 2 . pk . 16.00 . pembicara @tontonaulia . be there !",jihad,neutral
tweet ke -20.000 buat pak presiden deh . tau kan siapa ? ya buat pak @barack obama lah . presiden amerika :) ),obama,positive
"ikrar masyarakat ponorogo menolak hti . musnahkan isis fpi dan hti #bubarkanhti "" pemuda ponorogo jaga nkri ... https://t.co/z5P8JbSeYA",isis,positive
keempatblas ---> @liongkytan comic tionghoa asal cina . ga ada sama skali hubungannya sama jeki chan . tapi pemilik klining tongfang #ff,cina,neutral
"setelah zainal diangkat jadi pimpinan , aman † membuat † video call † dari penjara meminta jaringan jad segera ber jihad & memberikan dukungan kepada zainal @joxzin_jogja , @donywenas , @fadjroel #boikotpendukungteroris",jihad,neutral
@pardedereza indahnya islam cok :) $,islam,positive
"kempen kebersihan perdana masyair kempen ini telah dilancarkan oleh yb menteri dato dr mujahid yusof rawa , menteri di jpm ( agama ) di makkah pada 16/8 / 2019 kita pamerkan kepada dunia , satu lagi ® πpakej ® π model ... https://t.co/afEoLJOYFh",mujahid,positive
isis dalam tinjauan ahlussunnah http://t.co/3RgvRqQC49,isis,neutral
66.karena itu wajar jika banyak pihak yang meyakini bahwa isis sengaja dibuat untuk menghalangi tegaknya khilafah yang sesungguhnya . #7meihtimenang #umatbersamahti #islamselamatkannegeri,isis,neutral
copas status ustadz azzam mujahid izzulhaq : orang-orang ' santun dan ramah ' yg mengaku penjaga kebhinekaan ... https://t.co/8X0IVhzE7G,mujahid,positive
saya tak akan habiskan uang untuk menonton star wars . tunggu donlotan gratis saja . amerika sudah banyak ambil uang indonesia :),amerika,negative
... rt @anihns : #garagarage obama sekarang berkulit hitam @gepamungkas,obama,negative
yes :) rt @saljuapi : @andienaisyah aku masih inget betul pilgub kemarin mbandien juga memilih dukung jokowi :),jokowi,positive
"tak ada yg menyangka pimpinan tertinggi isis , omar maute , memiliki istri berkewarganegaraan indonesia #aiman https://t.co/nqpwGJXDdZ",isis,negative
mereka yg telah syahid akan tetap hidup dalam semangat mujahid / mujahidah generasi muda palestina . anak 2 yg tumbuh dan melihat kekejian zionist pada keluarga mereka akan menjadi pejuang tangguh yg gak kenal rasa takut dlm membela tanah leluhur mereka . inilah yg ditakutkan zionist . https://t.co/fYNPQ3GMrD,mujahidah,positive
""" dilihat dari segi sumber daya persenjataan dan manusia , isis pasti bakal kewalahan dlm menjalankan ® π ¶ ¢ ® π alex anas http://t.co/ZjVfJnGgWG """,isis,positive
ada ben . ada lebih dari 4 orang tadi . orang islam lagi tadi .,islam,neutral
"warna libanon ktp iran rt @rimanews : warga lebanon melawan , isis dipukul mundur http://t.co/zg44UYg6fg",isis,positive
"kalo sby turun , baru gue kasih :) rt @fdnh_ : bang , ava lo keren , lebih keren lagi kalo jari jempol bukan jari tengah =) * anakteladan *",sby,negative
"hati-hati , tolak kekerasan isis bukan ide khilafah http://t.co/geaGhhleLx",isis,neutral
isis telah membuat kami murka isis = israel #palestinesolidaritycampaign,isis,negative
kok kode jari telunjuknya sama antara pks dan teroris wahhabi isis ? kebetulan ? atau sesama secara ideologis ? https://t.co/0ogphIFpvX,isis,negative
"me too :) rt @arie_kriting : goodluck mentor saya @regzindahood untuk performnya di malaysia , .. dan selamat hari kasih sayang juga .. :) )",malaysia,positive
* memali - tulisan nakhaei ahmad tiup semangat jihad & syahid * dr kamarul zaman yusoff berkata banyak pihak yang ... https://t.co/oJRTnpAhRS,jihad,neutral
#kabar kali ini terduga teroris yang diidentifikasi polri sebagai pemimpin isis indonesia itu tewas dalam serangan drone di suriah . https://t.co/II8IcBis7I,isis,positive
"@pardedereza @ki wiranto - aaaaakk , ini kan choki yg suci 4 . minta tanda tangan dong ... wiranto . #sulit",wiranto,positive
"kenyataan media terbaru yb dato dr mujahid yusof rawa 1 . sekali lagi , merujuk kepada pertemuan saya bersama wakil transgender jumaat lalu . saya sentiasa terbuka untuk membincangkan isu yang sensitif . saya ... https://t.co/lLwVxJeWyQ",mujahid,neutral
"mantan anggota milisi perempuan isis bicara soal isis yang bengis : sering lihat kebengisan isis , khadijah meny ... http://t.co/Ydu6FgUTd2",isis,positive
"padahal prabowo udah keren dateng ke pelantikan rt @yudha_khan : ini orang 2 pks masih aja nyinyirin jokowi , udah atuh mas ikhlas ih",prabowo,positive
"live streaming tabligh akbar bersama gurunda habib @salimsegaf di masjid al jihad , medan sumatera utara . https://t.co/mMIg5plxnm https://t.co/HbIhz3qm0j",jihad,neutral
"2 tetesan yg plg dicintai allah : ~ air mata karena perasaan takut kpd allah & ~ darah yg mengalir karena jihad fisabililah tirmidzi , 1669",jihad,positive
"tari tor-tor mau di klaim malaysia ? ? lama kelamaan @borisbokir bakal di klaim juga kayaknya nih ... - _ - """,malaysia,negative
"himah yang kedua : muslim harus memiliki semangat ber jihad di jalan allah , memperjuangkan agama islam yg rahmatan lil alamin ini ..",jihad,positive
