text,target,label
"cc @ fpi _rawabokor  ""  -name- : ya ampun rigen , mentang  ""  udh terkenal skrg dia brani becanda sama malaikat , ,  $sad$  ""  ",fpi,negative
"-topic- ® πtak ada paksaan dalam agama , ® π qs . al-baqarah : 256 . tak perlu kau paksa orang untuk berbuat baik atau meninggalkan kemunkaran.sadarkan saja seseorang untuk berbuat baik atau meninggalkan kemunkaran . sulit ? memang ! itulah jihad . -url- ",jihad,positive
selamat buat singapura yg udah jadi juara aff cup 2012 . :d ,singapura,positive
salah satu golongan yang akan ke neraka ialah mereka ber jihad bukan kerana allah tapi untuk perhatian semata-mata . moga kita dijauhkan . ,jihad,negative
"terimakasih -name- malaysia , kostum saya saat acara di universitas islam antarbangsa , malaysia . rabbani pilihan saya sejak dulu . ",malaysia,positive
"-name- gue pernah nanya sama anggota kpk , katanya  ""  tunggu tanggal mainnya , dia masih jadi orang nomer satu , , dia gampang ngilangin bukti  ""  ",kpk,negative
perang makin brutal . ya allah selamatkan saudaraku d gaza ... tolonglah para mujahid d jalan-mu ... ya allah hancurkan barisan tentara israel ... ,mujahid,positive
semoga allah mengampuni dosa serta mengurniakan kematian yang mulia bagimu wahai bapa jihad moden . insha allah -url- ,jihad,positive
"mujahid mohon maaf atas kenyataan yang mengelirukan kuala lumpur - selepas mengadakan satu sidang akhbar yang menggemparkan dengan wakil transgender , nisha ayub pada minggu lepas , menteri di ... -url- ",mujahid,positive
cherrybelle tuh identik sama anisa . cherrybelle tanpa anisa tuh kaya fpi tanpa rusuh ,fpi,neutral
rt -name- : -name- isis ? pic.twitter.com/csnzomadsk ,isis,negative
"ibu gua org filipina , bapak-jawa .. rt -name- : -name- la lo asli pribumi ga ? rep rep pliss penting ",filipina,neutral
"61. isis mereka gambarkan sebagai khilafah dan khilafah adalah isis . dengan sepak terjang isis yang kontroversial , bengis dan kejam , mereka berharap publik menyimpulkan bahwa itulah khilafah . -topic- -topic- -topic- ",isis,negative
"* pendaftaran kader mujahid dakwah 7 * ` ` `  ""  seluruh ucapan , perbuatan dan perjuangan seorang ® π -url- ",mujahid,neutral
"rt -name- abdrabuh mansur hadi , janji perangi al qaeda -url- ",al qaeda,negative
semoga yang berjihad 4 n0vember di jaga kesehatannya . selalu dilindungi oleh alloh . dan saya yakin pasti mereka ... -url- ,berjihad,neutral
foto konfrensi pers tolak isis . -url- ,isis,positive
tidak ada jihad yang lebih berat dari menjaga lisan . ( fudhail bin ' iyadh ) ,jihad,positive
"pak tito ini bagus cara dia menyampaikan suatu hal . santai , tenang , jelas , tegas , dan tidak menyakiti . good . ",pak tito,positive
kan uda dibilang disumut ! ! ! klo org pinter uda ngerti . rw -name- dprd bkn dpr ! ! rt ,dpr,negative
abaikan tuntutan simpatisan isis yang minta indonesi berlakubkeras terhadap rezim militer myanmar . mosok manut wong goblog . ,isis,negative
"isis mulai trdesak kehilangan kota yg sempat didudukinya , mereka mulai melakukan aksi individual , teror bom hingga penyerangan -topic- -url- ",isis,negative
"kapolri : 500 wni berhasil lolos ke suriah gabung isis : islam times -  ""  dalam beberapa bulan ada puluhan yang d ... -url- ",isis,positive
"2.rasulullah saw menjawab , iya , dia wajib ber jihad tanpa ada peperangan didalamnya , yaitu dengan haji dan umarah . ( hr . ibnu majah 2901 ) ",jihad,positive
"topeng jihad jihad : ancaman  ""  islamic state  ""  dimalaysia . -url- 3118949982 , topeng jihad , tue mar 31 08:02 : 00 +0000 2015 , jihad ",jihad,neutral
isis dikabarkan membunuhi mujahidin di homs -url- lewat -name- . kalau berita ini betul ... betapa biadapnya isis . ,mujahidin,negative
"hima esp unpad proudly present  ""  infaq talaqi  ""  . jumat 25 okt 2013 @ . mesjid al- jihad unpad lt . 2 . pk . 16.00 . pembicara -name- . be there ! ",jihad,neutral
tweet ke -20.000 buat pak presiden deh . tau kan siapa ? ya buat pak -name- obama lah . presiden amerika  $smile$ ) ,obama,positive
"ikrar masyarakat ponorogo menolak hti . musnahkan isis fpi dan hti -topic-  ""  pemuda ponorogo jaga nkri ... -url- ",isis,positive
keempatblas ---> -name- comic tionghoa asal cina . ga ada sama skali hubungannya sama jeki chan . tapi pemilik klining tongfang -topic- ,cina,neutral
"setelah zainal diangkat jadi pimpinan , aman † membuat † video call † dari penjara meminta jaringan jad segera ber jihad & memberikan dukungan kepada zainal -name- , -name- , -name- -topic- ",jihad,neutral
-name- indahnya islam cok  $smile$ $ ,islam,positive
"kempen kebersihan perdana masyair kempen ini telah dilancarkan oleh yb menteri dato dr mujahid yusof rawa , menteri di jpm ( agama ) di makkah pada 16/8 / 2019 kita pamerkan kepada dunia , satu lagi ® πpakej ® π model ... -url- ",mujahid,positive
isis dalam tinjauan ahlussunnah -url- ,isis,neutral
66.karena itu wajar jika banyak pihak yang meyakini bahwa isis sengaja dibuat untuk menghalangi tegaknya khilafah yang sesungguhnya . -topic- -topic- -topic- ,isis,neutral
copas status ustadz azzam mujahid izzulhaq : orang-orang ' santun dan ramah ' yg mengaku penjaga kebhinekaan ... -url- ,mujahid,positive
