text,target,label
"cc @ fpi _rawabokor  ""  @imam_iry : ya ampun rigen , mentang  ""  udh terkenal skrg dia brani becanda sama malaikat , , :(  ""  ",fpi,negative
"#ensiklopedia ® πtak ada paksaan dalam agama , ® π qs . al-baqarah : 256 . tak perlu kau paksa orang untuk berbuat baik atau meninggalkan kemunkaran.sadarkan saja seseorang untuk berbuat baik atau meninggalkan kemunkaran . sulit ? memang ! itulah jihad . https://t.co/l8p02a3vi0 ",jihad,positive
selamat buat singapura yg udah jadi juara aff cup 2012 . :d ,singapura,positive
salah satu golongan yang akan ke neraka ialah mereka ber jihad bukan kerana allah tapi untuk perhatian semata-mata . moga kita dijauhkan . ,jihad,negative
"terimakasih @rabbani malaysia , kostum saya saat acara di universitas islam antarbangsa , malaysia . rabbani pilihan saya sejak dulu . ",malaysia,positive
"@m_fu4d gue pernah nanya sama anggota kpk , katanya  ""  tunggu tanggal mainnya , dia masih jadi orang nomer satu , , dia gampang ngilangin bukti  ""  ",kpk,negative
perang makin brutal . ya allah selamatkan saudaraku d gaza ... tolonglah para mujahid d jalan-mu ... ya allah hancurkan barisan tentara israel ... ,mujahid,positive
semoga allah mengampuni dosa serta mengurniakan kematian yang mulia bagimu wahai bapa jihad moden . insha allah http://t.co/lo7oy4rgx4 ,jihad,positive
"mujahid mohon maaf atas kenyataan yang mengelirukan kuala lumpur - selepas mengadakan satu sidang akhbar yang menggemparkan dengan wakil transgender , nisha ayub pada minggu lepas , menteri di ... https://t.co/ky5zskhlj3 ",mujahid,positive
cherrybelle tuh identik sama anisa . cherrybelle tanpa anisa tuh kaya fpi tanpa rusuh ,fpi,neutral
"61. isis mereka gambarkan sebagai khilafah dan khilafah adalah isis . dengan sepak terjang isis yang kontroversial , bengis dan kejam , mereka berharap publik menyimpulkan bahwa itulah khilafah . #allahbersamahti #khilafahselamatkanindonesia #antikhilafahantiislam ",isis,negative
"* pendaftaran kader mujahid dakwah 7 * ` ` `  ""  seluruh ucapan , perbuatan dan perjuangan seorang ® π https://t.co/wpnojxkl7e ",mujahid,neutral
semoga yang berjihad 4 n0vember di jaga kesehatannya . selalu dilindungi oleh alloh . dan saya yakin pasti mereka ... https://t.co/iiipq7jmhi ,berjihad,neutral
foto konfrensi pers tolak isis . http://t.co/rvwly8zn3n ,isis,positive
tidak ada jihad yang lebih berat dari menjaga lisan . ( fudhail bin ' iyadh ) ,jihad,positive
"pak tito ini bagus cara dia menyampaikan suatu hal . santai , tenang , jelas , tegas , dan tidak menyakiti . good . ",pak tito,positive
kan uda dibilang disumut ! ! ! klo org pinter uda ngerti . rw @479aldri dprd bkn dpr ! ! rt ,dpr,negative
abaikan tuntutan simpatisan isis yang minta indonesi berlakubkeras terhadap rezim militer myanmar . mosok manut wong goblog . ,isis,negative
"isis mulai trdesak kehilangan kota yg sempat didudukinya , mereka mulai melakukan aksi individual , teror bom hingga penyerangan #aiman https://t.co/g2iv36vc49 ",isis,negative
"kapolri : 500 wni berhasil lolos ke suriah gabung isis : islam times -  ""  dalam beberapa bulan ada puluhan yang d ... https://t.co/vgsspl08xn ",isis,positive
"2.rasulullah saw menjawab , iya , dia wajib ber jihad tanpa ada peperangan didalamnya , yaitu dengan haji dan umarah . ( hr . ibnu majah 2901 ) ",jihad,positive
"topeng jihad jihad : ancaman  ""  islamic state  ""  dimalaysia . http://t.co/ob8xa0xbai 3118949982 , topeng jihad , tue mar 31 08:02 : 00 +0000 2015 , jihad ",jihad,neutral
isis dikabarkan membunuhi mujahidin di homs http://t.co/dx62rsyq9u lewat @sharethis . kalau berita ini betul ... betapa biadapnya isis . ,mujahidin,negative
"hima esp unpad proudly present  ""  infaq talaqi  ""  . jumat 25 okt 2013 @ . mesjid al- jihad unpad lt . 2 . pk . 16.00 . pembicara @tontonaulia . be there ! ",jihad,neutral
tweet ke -20.000 buat pak presiden deh . tau kan siapa ? ya buat pak @barack obama lah . presiden amerika :) ) ,obama,positive
"ikrar masyarakat ponorogo menolak hti . musnahkan isis fpi dan hti #bubarkanhti  ""  pemuda ponorogo jaga nkri ... https://t.co/z5p8jbseya ",isis,positive
keempatblas ---> @liongkytan comic tionghoa asal cina . ga ada sama skali hubungannya sama jeki chan . tapi pemilik klining tongfang #ff ,cina,neutral
"setelah zainal diangkat jadi pimpinan , aman † membuat † video call † dari penjara meminta jaringan jad segera ber jihad & memberikan dukungan kepada zainal @joxzin_jogja , @donywenas , @fadjroel #boikotpendukungteroris ",jihad,neutral
@pardedereza indahnya islam cok :) $ ,islam,positive
"kempen kebersihan perdana masyair kempen ini telah dilancarkan oleh yb menteri dato dr mujahid yusof rawa , menteri di jpm ( agama ) di makkah pada 16/8 / 2019 kita pamerkan kepada dunia , satu lagi ® πpakej ® π model ... https://t.co/afeoljoyfh ",mujahid,positive
isis dalam tinjauan ahlussunnah http://t.co/3rgvrqqc49 ,isis,neutral
66.karena itu wajar jika banyak pihak yang meyakini bahwa isis sengaja dibuat untuk menghalangi tegaknya khilafah yang sesungguhnya . #7meihtimenang #umatbersamahti #islamselamatkannegeri ,isis,neutral
copas status ustadz azzam mujahid izzulhaq : orang-orang ' santun dan ramah ' yg mengaku penjaga kebhinekaan ... https://t.co/8x0ivhze7g ,mujahid,positive
saya tak akan habiskan uang untuk menonton star wars . tunggu donlotan gratis saja . amerika sudah banyak ambil uang indonesia :) ,amerika,negative
"tak ada yg menyangka pimpinan tertinggi isis , omar maute , memiliki istri berkewarganegaraan indonesia #aiman https://t.co/nqpwgjxddz ",isis,negative
mereka yg telah syahid akan tetap hidup dalam semangat mujahid / mujahidah generasi muda palestina . anak 2 yg tumbuh dan melihat kekejian zionist pada keluarga mereka akan menjadi pejuang tangguh yg gak kenal rasa takut dlm membela tanah leluhur mereka . inilah yg ditakutkan zionist . https://t.co/fynpq3gmrd ,mujahidah,positive
" ""  dilihat dari segi sumber daya persenjataan dan manusia , isis pasti bakal kewalahan dlm menjalankan ® π ¶ ¢ ® π alex anas http://t.co/zjvfjnggwg  ""  ",isis,positive
ada ben . ada lebih dari 4 orang tadi . orang islam lagi tadi . ,islam,neutral
"hati-hati , tolak kekerasan isis bukan ide khilafah http://t.co/geaghhlelx ",isis,neutral
isis telah membuat kami murka isis = israel #palestinesolidaritycampaign ,isis,negative
kok kode jari telunjuknya sama antara pks dan teroris wahhabi isis ? kebetulan ? atau sesama secara ideologis ? https://t.co/0ogphifpvx ,isis,negative
* memali - tulisan nakhaei ahmad tiup semangat jihad & syahid * dr kamarul zaman yusoff berkata banyak pihak yang ... https://t.co/ojrtnpahrs ,jihad,neutral
#kabar kali ini terduga teroris yang diidentifikasi polri sebagai pemimpin isis indonesia itu tewas dalam serangan drone di suriah . https://t.co/ii8icbis7i ,isis,positive
"@pardedereza @ki wiranto - aaaaakk , ini kan choki yg suci 4 . minta tanda tangan dong ... wiranto . #sulit ",wiranto,positive
"kenyataan media terbaru yb dato dr mujahid yusof rawa 1 . sekali lagi , merujuk kepada pertemuan saya bersama wakil transgender jumaat lalu . saya sentiasa terbuka untuk membincangkan isu yang sensitif . saya ... https://t.co/llwvxjewyq ",mujahid,neutral
"mantan anggota milisi perempuan isis bicara soal isis yang bengis : sering lihat kebengisan isis , khadijah meny ... http://t.co/ydu6fgutd2 ",isis,positive
"live streaming tabligh akbar bersama gurunda habib @salimsegaf di masjid al jihad , medan sumatera utara . https://t.co/mmig5plxnm https://t.co/hbihz3qm0j ",jihad,neutral
"2 tetesan yg plg dicintai allah : ~ air mata karena perasaan takut kpd allah & ~ darah yg mengalir karena jihad fisabililah tirmidzi , 1669 ",jihad,positive
"tari tor-tor mau di klaim malaysia ? ? lama kelamaan @borisbokir bakal di klaim juga kayaknya nih ... - _ -  ""  ",malaysia,negative
"himah yang kedua : muslim harus memiliki semangat ber jihad di jalan allah , memperjuangkan agama islam yg rahmatan lil alamin ini .. ",jihad,positive
"balas dendam , wanita irak tebas dan masak kepala militan-militan isis : seorang wanita irak mengklaim dirinya ... https://t.co/mjqtau7aqc ",isis,negative
"@eae18 @herrreza @uinjktofficial maaf pak ini bukan hoax , ini memang benar adanya saya tinggal di ciputat , dan teman saya sendiri yg bercerita , soal jihad gila ini https://t.co/pstt6xhcey ",jihad,negative
"polisi tolak demo 2 desember di bundaran hi karena mengganggu yang ber jihad menafkahi keluarga negeri ini , ... https://t.co/bzh0c4z4iw ",jihad,positive
panglima mujahidin suriah bongkar konspirasi isis dengan iran http://t.co/kl64s8tjfx ,isis,positive
"mengapa sih hanya isis aja yg bertentangan pancasila , syiah , ahmadiyah , bgm bertentangan juga kan ? ",isis,negative
bagus klo gitu rw @rizqonadhra : @babecabiita fpi udah berangkat dan jadi relawan di palestina lebih dulu sebelum kita berfikir gitu be . ,fpi,positive
