text,target,label
"c @ fpi _rawabokor "" uname : ya ampun rigen , mentang "" udh terkenal skrg dia brani becanda sama malaikat , , sad """,fpi,negative
"topic i tak ada paksan dalam agama , i i qs . albaqarah : 256 . tak perlu kau paksa orang untuk berbuat baik atau meningalkan kemunkaran.sadarkan saja seseorang untuk berbuat baik atau meningalkan kemungkaran . sulit ? memang ! itulah jihad . url",jihad,positive
selamat buat singapura yg udah jadi juara af cup 2012 . d,singapura,positive
salah satu golongan yang akan ke neraka ialah mereka ber jihad bukan kerana alah tapi untuk perhatian sematamata . moga kita dijauhkan .,jihad,negative
"terimakasih uname malaysia , kostum saya sat acara di universitas islam antarabangsa , malaysia . rabani pilihan saya sejak dulu .",malaysia,positive
"uname gue pernah na sama angota kpk , kata "" tungu tangal main , dia masih jadi orang nomer satu , , dia gampang ngilangin bukti """,kpk,negative
perang makin brutal . ya alah selamatkan saudaraku d gaza . tolonglah para mujahid d jalanmu . ya alah hancurkan barisan tentara israel .,mujahid,positive
semoga alah mengampuni dosa serta mengunakan kematian yang mulia bagimu wahai bapa jihad moden . insha alah url,jihad,positive
"mujahid mohon maf atas kenyatan yang mengelirukan kuala lumpur - selepas mengadakan satu sidang akhbar yang mengemparkan dengan wakil transgender , nisha ayub pada mingu lepas , menteri di . url",mujahid,positive
cherybele tuh identik sama anisa . cherybele tanpa anisa tuh kaya fpi tanpa rusuh,fpi,neutral
rt uname : uname isis ? pic.twiter.com/csnzomadsk,isis,negative
"ibu gua org filipina , bapak-jawa rt rt uname : uname la lo asli pribumi ga ? rep rep plis penting",filipina,neutral
"61 isis mereka gambarkan sebagai khilafah dan khilafah adalah isis . dengan sepak terjang isis yang kontroversial , bengis dan kejam , mereka berharap publik menyimpulkan bahwa itulah khilafah . topic topic topic",isis,negative
"i pendaftaran kader mujahid dakwah 7 i i i i "" seluruh ucapan , perbuatan dan perjuangan seorang i i url",mujahid,neutral
"rt uname abdrabuh mansur hadi , janji perangi al qaeda url",alqaeda,negative
semoga yang berjihad 4 november di jaga kesehatan . selalu dilindungi oleh aloh . dan saya yakin pasti mereka . url,berjihad,neutral
foto konfrensi pers tolak isis . url,isis,positive
tidak ada jihad yang lebih berat dari menjaga lisan . ( fadhil bin ' iyadh ),jihad,positive
"pak tito ini bagus cara dia menyampaikan suatu hal . santai , tenang , jelas , tegas , dan tidak menyakiti . god .",pak tito,positive
kan uda dibilang disudut ! ! ! klo org pinter uda ngerti . rw uname dprd bkn dpr ! ! rt,dpr,negative
abaikan tuntutan simpatisan isis yang minta indonesi berlakubkeras terhadap rezim militer myanmar . mosok manut wong goblog .,isis,negative
"isis mulai trdesak kehilangan kota yg sempat diduduki , mereka mulai melakukan aksi individual , teror bom hinga penyerangan topic url",isis,negative
"kapolri : 50 wni berhasil lolos ke suriah gabung isis : islam times - "" dalam beberapa bulan ada puluhan yang d . url",isis,positive
"rasululah saw menjawab , iya , dia wajib ber jihad tanpa ada peperangan didalam , yaitu dengan haji dan marah . ( hr . ibnu majah 201 )",jihad,positive
"topeng jihad jihad : ancaman "" islamic state "" dimalaysia . url 31894982 , topeng jihad , tue mar 31 02 : 0 0 2015 , jihad",jihad,neutral
isis dikabarkan membunuh mujahidin di homs url lewat uname . kalau berita ini betul . betapa biadap isis .,mujahidin,negative
"hima esp unpad proudly present "" infaq talaq "" . jumat 25 okt 2013 @ . mesjid al jihad unpad lt . 2 . pk . 10 . pembicara uname . be there !",jihad,neutral
twet ke -20.0 buat pak presiden deh . tau kan siapa ? ya buat pak uname obama lah . presiden amerika smiley ),obama,positive
"ikrar masyarakat ponorogo menolak hti . musnahkan isis fpi dan hti topic "" pemuda ponorogo jaga nkri . url",isis,positive
kempatblas -> uname comic tionghoa asal cina . ga ada sama skali hubungan sama jeki chan . tapi pemilik klining tongfang topic,cina,neutral
"setelah zainal diangkat jadi pimpinan , aman i membuat i video cal i dari penjara meminta jaringan jad segera ber jihad i memberikan dukungan kepada zainal uname , uname , uname topic",jihad,neutral
uname indah islam cok smiley i,islam,positive
"kempen kebersihan perdana masyar kempen ini telah dilancarkan oleh yb menteri dato dr mujahid yusof rawa , menteri di jpm ( agama ) di makah pada 168 / 2019 kita pamerkan kepada dunia , satu lagi i pakej i i model . url",mujahid,positive
isis dalam tinjauan ahlusunah url,isis,neutral
6.karena itu wajar jika banyak pihak yang meyakini bahwa isis sengaja dibuat untuk menghalangi tegak khilafah yang sesunguh . topic topic topic,isis,neutral
copas status ustadz azam mujahid izulhaq : orang ' santun dan ramah ' yg mengaku penjaga kebhinekan . url,mujahid,positive
saya tak akan habiskan uang untuk menonton star wars . tungu donlotan gratis saja . amerika sudah banyak ambil uang indonesia smiley,amerika,negative
. rt uname : topic obama sekarang berkulit hitam uname,obama,negative
yes smiley rt uname : uname aku masih inget betul pilgub kemarin mandin juga memilih dukung jokowi smiley,jokowi,positive
"tak ada yg menyangka pimpinan tertingi isis , omar maut , memiliki istri berkewarganegaran indonesia topic url",isis,negative
mereka yg telah syahid akan tetap hidup dalam semangat mujahid / mujahidah generasi muda palestina . anak 2 yg tumbuh dan melihat kesepian zionist pada keluarga mereka akan menjadi pejuang tanguh yg gak kenal rasa takut dlm membela tanah leluhur mereka . inilah yg ditakutkan zionist . url,mujahidah,positive
""" dilihat dari segi sumber daya persenjatan dan manusia , isis pasti bakal kewalahan dlm menjalankan i i i i i i alex anas url """,isis,positive
ada ben . ada lebih dari 4 orang tadi . orang islam lagi tadi .,islam,neutral
"warna libanon ktp iran rt uname : warga lebanon melawan , isis dipukul mundur url",isis,positive
"kalo sby turun , baru gue kasih smiley rt uname : bang , ava lo keren , lebih keren lagi kalo jari jempol bukan jari tengah smiley i anakteladan i",sby,negative
"hati , tolak kekerasan isis bukan ide khilafah url",isis,neutral
isis telah membuat kami murka isis i israel topic,isis,negative
kok kode jari telunjuk sama antara pks dan teroris wahabi isis ? kebetulan ? atau sesama secara ideologis ? url,isis,negative
"me to smiley rt uname : godluck mentor saya uname untuk perform di malaysia , rt dan selamat hari kasih sayang juga rt smiley )",malaysia,positive
i melali - tulisan nakali ahmad tiup semangat jihad i syahid i dr kamarul zaman yusof berkata banyak pihak yang . url,jihad,neutral
topic kali ini terduga teroris yang didentifikasi polri sebagai pemimpin isis indonesia itu tewas dalam serangan drone di suriah . url,isis,positive
"uname uname wiranto - ak , ini kan choki yg suci 4 . minta tanda tangan dong . wiranto . topic",wiranto,positive
"kenyatan media terbaru yb dato dr mujahid yusof rawa 1 . sekali lagi , merujuk kepada pertemuan saya bersama wakil transgender jumat lalu . saya sentiasa terbuka untuk membincangkan isu yang sensitif . saya . url",mujahid,neutral
"mantan angota milisi perempuan isis bicara soal isis yang bengis : sering lihat kebencian isis , khadijah me . url",isis,positive
"padahal prabowo udah keren dateng ke pelantikan rt uname : ini orang 2 pks masih aja nyinyirin jokowi , udah atuh mas ikhlas ih",prabowo,positive
"live streaming tabligh akbar bersama gurunda habib uname di masjid al jihad , medan sumatera utara . url url",jihad,neutral
"2 tetesan yg plg dicintai alah : i air mata karena perasan takut kpd alah i i darah yg mengalir karena jihad fisabililah tirmidzi , 169",jihad,positive
"tari tor mau di klaim malaysia ? ? lama kelaman uname bakal di klaim juga kayak nih . - _ - """,malaysia,negative
"himah yang kedua : muslim harus memiliki semangat ber jihad di jalan alah , memperjuangkan agama islam yg rahmatan lil alamin ini rt",jihad,positive
"balas dendam , wanita irak tebas dan masak kepala militan isis : seorang wanita irak mengklaim diri . url",isis,negative
"uname uname uname maf pak ini bukan hoax , ini memang benar ada saya tingal di ciputat , dan teman saya sendiri yg bercerita , soal jihad gila ini url",jihad,negative
"polisi tolak demo 2 desember di bundaran hi karena mengangu yang ber jihad menafkahi keluarga negeri ini , . url",jihad,positive
panglima mujahidin suriah bongkar konspirasi isis dengan iran url,isis,positive
"mengapa sih ha isis aja yg bertentangan pancasila , syiah , ahmadiyah , bgm bertentangan juga kan ?",isis,negative
bagus klo gitu rw uname : uname fpi udah berangkat dan jadi relawan di palestina lebih dulu sebelum kita berfikir gitu be .,fpi,positive
"live report "" satu jalan untuk melepaskan palestina dari cengkraman zionis adalah jihad fi sabililah . "" , ucap ahmad heryawan , gubernur jabar pada orasi topic . "" enyahlah , israel ! "" topic topic topic topic url",jihad,positive
"islam untuk semua , jangan ikut kaca mata melayu sahaja putrajaya - menteri hal ehwal agama di jabatan perdana menteri datuk dr mujahid yusof rawa mengema penyatan islam yang inklusif dan . url",mujahid,positive
pasukan yaman tewaskan tersangka pemimpin al qaeda : pasukan yaman menewaskan tersangka pemimpin al qaeda dala . url,alqaeda,negative
topic perempuan arab saudi berbondong-bondong bergabung dengan alqaeda : url,alqaeda,negative
obama kirim surat kpd pmimpin spiritual iran soal isis . arti : ( raja kafir dunia krm srt kpd gembong munafiq dunia soal mujahidin suni ),isis,neutral
uname uname yah ga jadi di masukin islam song bang . hehe,islam,neutral
hujan awet kayak hubungan bilateral indonesia dan brunei .,indonesia,positive
kemaren nonton bioskop rt mingu ini nonton standup rt mingu depan nonton badminton indonesia open . terus nonton theater kapan bang ? ?,indonesia,positive
uname sby haha mas dono ini !,sby,neutral
"tito karnaval , membedakan tipe teroris yg berkembang sat ini , tipe pertama alumni suriah , tipe kedua genderles jihad topic topic url",jihad,neutral
"al qaeda akan menculik orang barat atas perintah al zawahiri : islamtimes - pemimpin alqaeda , aymen al bawahi . url",alqaeda,negative
ntar malem di kfc kemang jam 7 ! rt dtg yak ! rt uname : uname sby uname live stream ( cont ) htp $anoyed$/ tl.gd/gia1fv,sby,positive
ldr terkadang lebih kejam daripada fpi .,fpi,neutral
ciri 2 salafusoleh : 1 . sibuk berdakwah / berjihad smpai x sempat berusaha dimuka bumi .,berjihad,positive
sby i sabar be ya i ngelus dada . dada si itu i rw uname : sby i situ budianduk ya ? rt uname sby i sekarang bobok yuks : i,sby,neutral
"untuk para pendukung jokowi dan prabowo , dibaca ya smiley rt uname : c : uname uname uname pic.twiter.com/eugqym3j9r",prabowo,neutral
"kalo pilih prabowo , kayak bakal gini aja deh , liat aja partai pendukung , itu partai yg udah 10 tahun duduk di kursi dpr .",prabowo,neutral
"63.selain sepak terjang jauh dari syariah islam , isis sudah terlanjur dikenal sebagai boneka barat . topic topic topic topic topic topic",isis,negative
menganas # isis / topic sentiasa merekrut orang yang jahil untuk berbagi i kat dengan ideologi sesat mereka ! berwaspada dalam talian i i jangan jadi mangsa menganas ! topic topic isis url url,isis,positive
"tak ha jihad harta , namun juga jihad dg tentara topic",jihad,positive
pergi ber jihad tapi jadi pencuci tandas i i ayob khan . ramai orang malaysia pergi ber jihad di luar negara tetapi . url,jihad,negative
"kita hrs bkerja keras sampai indonesia bebas korupsi ! - jokowi tdk prlu brdarah 2 , ckp tdk korupsi i lawan korupsi kalian udh berjihad ! - ahok url",berjihad,positive
"kalo nanti jokowi kalah di pilpres , dia nyanyi "" hilang permata , hilang harapanku , yang kurupuk dengan yusuf kala """,jokowi,neutral
"kasturi kapanlah tu apa ? nanti nak ta lebai gogle sat . 019-478 829 ( mujahid ) , 017-51 102 ( hanafi ) .",mujahid,neutral
"apakah anda berangapan ha duit atau harta benda itu "" sedekah "" ? mengajar orang ilmu bermanfat juga adalah "" sedekah "" . ilmu adalah harta menuntut ilmu juga adalah sebahagian dari definisi "" ibadah "" . juga adalah jihad . sumber gambar dibawah dari : url . url",jihad,positive
uname benerin lcd berapa sih budha ?,budha,neutral
syarat jihad . url,jihad,neutral
"so , yg mau nambah ilmu seputar ekonomi syariah yg lg in , blh datang jumat ini jam 10 di masjid al jihad unpad smiley uname uname",jihad,neutral
"6 . sebagaimana kalau seseorang yang mengiatkan dalam makan untuk memperkuat fisik dalam ber jihad , shalat atau puasa",jihad,neutral
3 event tv berturuturut ga bisa nonton . di sat seperti ini lah gue selalu kepikiran buat beli hape cina yg ada tv . rt,cina,positive
"kita ha peduli setengah , ha peduli ketika isis bikin onar , tapi diam ketika ribuan orang suriah mati dibabat , disiksa asad .",isis,negative
"ina lilah ! keji , isis menyembelih mujahid jabah islamiyah url via uname",isis,negative
