text,target,label
"cc @ fpi _rawabokor  ""  $MENTION$ : ya ampun rigen , mentang  ""  udh terkenal skrg dia brani becanda sama malaikat , ,  $sad$  ""  ",fpi ,negative
"$MENTION$ ® πtak ada paksaan dalam agama , ® π qs . al-baqarah : 256 . tak perlu kau paksa orang untuk berbuat baik atau meninggalkan kemunkaran.sadarkan saja seseorang untuk berbuat baik atau meninggalkan kemunkaran . sulit ? memang ! itulah jihad . $URL$ ",jihad ,positive
selamat buat singapura yg udah jadi juara aff cup 2012 . :d ,singapura ,positive
salah satu golongan yang akan ke neraka ialah mereka ber jihad bukan kerana allah tapi untuk perhatian semata-mata . moga kita dijauhkan . ,jihad ,negative
"terimakasih $MENTION$ malaysia , kostum saya saat acara di universitas islam antarbangsa , malaysia . rabbani pilihan saya sejak dulu . ",malaysia ,positive
"$MENTION$ gue pernah nanya sama anggota kpk , katanya  ""  tunggu tanggal mainnya , dia masih jadi orang nomer satu , , dia gampang ngilangin bukti  ""  ",kpk ,negative
perang makin brutal . ya allah selamatkan saudaraku d gaza ... tolonglah para mujahid d jalan-mu ... ya allah hancurkan barisan tentara israel ... ,mujahid ,positive
semoga allah mengampuni dosa serta mengurniakan kematian yang mulia bagimu wahai bapa jihad moden . insha allah $URL$ ,jihad ,positive
"mujahid mohon maaf atas kenyataan yang mengelirukan kuala lumpur - selepas mengadakan satu sidang akhbar yang menggemparkan dengan wakil transgender , nisha ayub pada minggu lepas , menteri di ... $URL$ ",mujahid ,positive
cherrybelle tuh identik sama anisa . cherrybelle tanpa anisa tuh kaya fpi tanpa rusuh ,fpi ,neutral
"61. isis mereka gambarkan sebagai khilafah dan khilafah adalah isis . dengan sepak terjang isis yang kontroversial , bengis dan kejam , mereka berharap publik menyimpulkan bahwa itulah khilafah . $MENTION$ $MENTION$ $MENTION$ ",isis ,negative
"* pendaftaran kader mujahid dakwah 7 * ` ` `  ""  seluruh ucapan , perbuatan dan perjuangan seorang ® π $URL$ ",mujahid ,neutral
semoga yang berjihad 4 n0vember di jaga kesehatannya . selalu dilindungi oleh alloh . dan saya yakin pasti mereka ... $URL$ ,berjihad ,neutral
foto konfrensi pers tolak isis . $URL$ ,isis ,positive
tidak ada jihad yang lebih berat dari menjaga lisan . ( fudhail bin ' iyadh ) ,jihad ,positive
"pak tito ini bagus cara dia menyampaikan suatu hal . santai , tenang , jelas , tegas , dan tidak menyakiti . good . ",pak tito ,positive
kan uda dibilang disumut ! ! ! klo org pinter uda ngerti . rw $MENTION$ dprd bkn dpr ! ! rt ,dpr ,negative
abaikan tuntutan simpatisan isis yang minta indonesi berlakubkeras terhadap rezim militer myanmar . mosok manut wong goblog . ,isis ,negative
"isis mulai trdesak kehilangan kota yg sempat didudukinya , mereka mulai melakukan aksi individual , teror bom hingga penyerangan $MENTION$ $URL$ ",isis ,negative
"kapolri : 500 wni berhasil lolos ke suriah gabung isis : islam times -  ""  dalam beberapa bulan ada puluhan yang d ... $URL$ ",isis ,positive
"2.rasulullah saw menjawab , iya , dia wajib ber jihad tanpa ada peperangan didalamnya , yaitu dengan haji dan umarah . ( hr . ibnu majah 2901 ) ",jihad ,positive
"topeng jihad jihad : ancaman  ""  islamic state  ""  dimalaysia . $URL$ 3118949982 , topeng jihad , tue mar 31 08:02 : 00 +0000 2015 , jihad ",jihad ,neutral
isis dikabarkan membunuhi mujahidin di homs $URL$ lewat $MENTION$ . kalau berita ini betul ... betapa biadapnya isis . ,mujahidin ,negative
