text,target,label
"c @ fpi _rawabokor "" $MENTION$ : ya ampun rigen , mentang "" udh terkenal skrg dia brani becanda sama malaikat , , $sad$ """,fpi,negative
"$MENTION$ ® πtak ada paksan dalam agama , ® π qs . al-baqarah : 256 . tak perlu kau paksa orang untuk berbuat baik atau meningalkan kemunkaran.sadarkan saja seseorang untuk berbuat baik atau meningalkan kemunkaran . sulit ? memang ! itulah jihad . $URL$",jihad,positive
selamat buat singapura yg udah jadi juara af cup 2012 . :d,singapura,positive
salah satu golongan yang akan ke neraka ialah mereka ber jihad bukan kerana alah tapi untuk perhatian semata-mata . moga kita dijauhkan .,jihad,negative
"terimakasih $MENTION$ malaysia , kostum saya sat acara di universitas islam antarbangsa , malaysia . rabani pilihan saya sejak dulu .",malaysia,positive
"$MENTION$ gue pernah na sama angota kpk , kata "" tungu tangal main , dia masih jadi orang nomer satu , , dia gampang ngilangin bukti """,kpk,negative
perang makin brutal . ya alah selamatkan saudaraku d gaza . tolonglah para mujahid d jalan-mu . ya alah hancurkan barisan tentara israel .,mujahid,positive
semoga alah mengampuni dosa serta mengurniakan kematian yang mulia bagimu wahai bapa jihad moden . insha alah $URL$,jihad,positive
"mujahid mohon maf atas kenyatan yang mengelirukan kuala lumpur - selepas mengadakan satu sidang akhbar yang mengemparkan dengan wakil transgender , nisha ayub pada mingu lepas , menteri di . $URL$",mujahid,positive
cherybele tuh identik sama anisa . cherybele tanpa anisa tuh kaya fpi tanpa rusuh,fpi,neutral
"61. isis mereka gambarkan sebagai khilafah dan khilafah adalah isis . dengan sepak terjang isis yang kontroversial , bengis dan kejam , mereka berharap publik menyimpulkan bahwa itulah khilafah . $MENTION$ $MENTION$ $MENTION$",isis,negative
"* pendaftaran kader mujahid dakwah 7 * ` ` ` "" seluruh ucapan , perbuatan dan perjuangan seorang ® π $URL$",mujahid,neutral
semoga yang berjihad 4 n0vember di jaga kesehatan . selalu dilindungi oleh aloh . dan saya yakin pasti mereka . $URL$,berjihad,neutral
foto konfrensi pers tolak isis . $URL$,isis,positive
tidak ada jihad yang lebih berat dari menjaga lisan . ( fudhail bin ' iyadh ),jihad,positive
"pak tito ini bagus cara dia menyampaikan suatu hal . santai , tenang , jelas , tegas , dan tidak menyakiti . god .",pak tito,positive
kan uda dibilang disumut ! ! ! klo org pinter uda ngerti . rw $MENTION$ dprd bkn dpr ! ! rt,dpr,negative
abaikan tuntutan simpatisan isis yang minta indonesi berlakubkeras terhadap rezim militer myanmar . mosok manut wong goblog .,isis,negative
"isis mulai trdesak kehilangan kota yg sempat diduduki , mereka mulai melakukan aksi individual , teror bom hinga penyerangan $MENTION$ $URL$",isis,negative
"kapolri : 50 wni berhasil lolos ke suriah gabung isis : islam times - "" dalam beberapa bulan ada puluhan yang d . $URL$",isis,positive
"2.rasululah saw menjawab , iya , dia wajib ber jihad tanpa ada peperangan didalam , yaitu dengan haji dan umarah . ( hr . ibnu majah 2901 )",jihad,positive
"topeng jihad jihad : ancaman "" islamic state "" dimalaysia . $URL$ 31894982 , topeng jihad , tue mar 31 08:02 : 0 +0 2015 , jihad",jihad,neutral
isis dikabarkan membunuhi mujahidin di homs $URL$ lewat $MENTION$ . kalau berita ini betul . betapa biadap isis .,mujahidin,negative
"hima esp unpad proudly present "" infaq talaqi "" . jumat 25 okt 2013 @ . mesjid al- jihad unpad lt . 2 . pk . 16.0 . pembicara $MENTION$ . be there !",jihad,neutral
