text,target,label
"sukses rebut perunggu sea games 2017, ini komentar luis milla -url-  -url- ",sea games,neutral
presiden sebelumnya tidak pernah ikut sea games bang! ,sea games,neutral
"bawa pulang perunggu sea games 2017, timnas u-22 bisa tersenyum | pikiran rakyat -url-  via -name- ",sea games,neutral
"baru terjadi di presiden sekarang, peringkat 5 sea games . presiden sebelumnya bisa apa...? -url-  ",sea games,neutral
"akhirnya malaysia merasakan kesedihan di kandang, usai kalah 0-1 dari thailand di final sepakbola sea games -url- .. ",sea games,neutral
saya suka video -name- -url- indonesia vs myanmar 3-1 - indonesia rebut medali perunggu sea games 2017 sepak bola ,sea games,neutral
saksikan live streaming lompat indah sea games -url- -url- ,sea games,neutral
tanggapan presiden jokowi soal bendera indonesia terbalik di sea games 2017 -url-  via -name- -topic- ,sea games,neutral
"hanya raih 2 emas, pertama kalinya indonesia gagal juara umum di cabor bulu tangkis sea games -url- ",sea games,neutral
terharuuuu dapat pergi closing sea games . semalam pasrah gilee tidur awal sebab taknak kecewa tak dapat pergi ,sea games,positive
jonatan christie ungkap kunci sukses di sea games 2017 -url- ,sea games,neutral
"taklukkan myanmar 3-1, timnas u-22 sabet perunggu sea games 2017 -topic- -url- ",sea games,neutral
-name- jonatan christie ungkap kunci sukses di sea games 2017 jonatan christie meraih m -url-  ,sea games,neutral
me : along. alg : hmm me : malam ni pi tgk cc sea games alg : hmm -topic- ,sea games,neutral
"pecundangi malaysia, thailand juara sepakbola sea games 2017 -url-  ",sea games,neutral
"raih medali perunggu sea games 2017, ini komentar ryuji utomo -url-  -url- ",sea games,neutral
"perlu di apresiasi sih , pemerintah cq kemenpora telah berhasil menggabungkan sea games dgn pancasila, olahraga pun cinta dengan angka 5.. ",sea games,positive
indonesia vs myanmar 3-1 sea games 2017 ! indonesia vs myanmar ! myanmar... -url- via -name- ,sea games,neutral
she slays sea games when she's 15?? and got bronze! wow..aku umur 23 pon belum tentu dapat top 20 dik.. tahniah weh!! ,sea games,neutral
the next sea games yg malaysia akan jadi tuan rumah lagi adalah pada 20 tahun akan dtg so it means my age is 41 tahun at that time. ,sea games,neutral
heh..pala tok..malar jak fikir main bol sea games kmarik ,sea games,neutral
"sea games 2017, statistik satria tama kalahkan gianluigi buffon -url-  ",sea games,neutral
"-topic- taklukkan myanmar 3-1, timnas u-22 sabet perunggu sea games 2017 -topic- -url- ",sea games,neutral
full time : final sea games (sepakbola) malaysia 0 1 thailand muhehehehe malingsial kalah di final ,sea games,neutral
i liked a -name- video -url- hebat !!! pesilat psht puspa arum sari mengharumkan nama bangsa di ajang sea games ,sea games,neutral
catatan indonesia kalahkan myanmar 3 1 di sea games malaysia -url-  -url- ,sea games,neutral
pada masa rezim inilah indonesia tdk berdaya pada event sea games .... posisi lima euiiii.... ,sea games,neutral
"di sea games kemarin kita berada di bawah malaysia, vietnam, thailand, dan singapura. secara umum, bisa jadi proxy kekuatan ekonomi. ",sea games,neutral
indonesia tak takut sea games di malaysia 2017 ,sea games,positive
"budak-budak suka makan dadih, dadih di makan lagi dan lagi, oh malaysiaku janganlah sedih, sea games lain kita... -url- ",sea games,neutral
adam beberapa tackle yg kemas dan juga careless mistake.mungkin match paling teruknya dalam sea games edisi kali ini.kesuluruhan konsisten. ,sea games,neutral
-topic- | kompas : darurat olahraga indonesia. menpora meminta maaf atas kegagal;an ri di sea games 2017 ,sea games,neutral
"target sea games tak terpenuhi, menpora minta maaf dan bertanggung jawab -url- ",sea games,neutral
"siapa saja yang berhasil meraih medali emas di sea games 2017 hingga selasa, 29 agustus? -url- -url- ",sea games,neutral
"ganda campuran gagal di sea games , ini kata richard mainaky -url- -url- ",sea games,neutral
-topic- : mereka yang masih (berkesempatan) berlaga di sea games selanjutnya ! -url-  -topic- ,sea games,neutral
"-topic- target di sea games 2017 tak tercapai, menpora minta maaf. target nikah jg tak tercapai, jgn minta maaf tp minta jodoh -topic- ",sea games,neutral
gaduh ape ni abang sprinter. plis buat comeback nk tgok awak main sea games ,sea games,neutral
"banyak korban cedera di sea games 2017 malaysia, ada apa: -url- via -name- ",sea games,neutral
semua negara tak takut sama sea games di malaysia 2017 ,sea games,positive
"sea games 2017: malaysia juara, indonesia gagal capai target -topic- .co.id - berita -topic- -topic- -url-  ",sea games,neutral
indonesia tak takut malaysia sea games 2017 ,sea games,positive
"duh, dalam sejarah prestasi sea games indonesia terpuruk di era jokowi -url- -url- ",sea games,neutral
"berakhir dengan perunggu di sea games 2017, luis milla ucapkan terima kasih kepada suporter -url- ",sea games,neutral
thailand sama gak senang sea games di malaysia 2017 ,sea games,neutral
"taklukkan myanmar 3-1, timnas u-22 sabet perunggu sea games 2017 -url- -topic- -topic- -topic- ",sea games,neutral
ada ke yang nak jual ticket closing ceremony sea games lagi ,sea games,neutral
"-url- hamdalah, taekwondoin asal riau sumbang emas di sea games 2017 -topic- -topic- ",sea games,neutral
jk kecewa hasil sea games 2017 -url-  via -name- ,sea games,neutral
"hasil sea games memprihatinkan, menpora minta maaf -url-  via -name- ",sea games,neutral
"bangun tidur lihat berita malaysia kalah lawan thailand di final sepak bola sea games . hahaha, mang enak? ",sea games,negative
"okezonenews hasil sea games 2017 belum sesuai target, menpora: &8206;kita akan evaluasi! -url- -url- ",sea games,neutral
kirim foto/video dukunganmu untuk tim indonesia di arena sea games ! ada hadiah menanti! -topic- -topic- -url- ,sea games,neutral
indonesia vs myanmar 3-1 sea games 2017 ! indonesia vs myanmar ! myanmar vs indonesia: -url- via -name- ,sea games,neutral
"atlet indonesia terpuruk di sea games akibat pemerintah sebelumnya, brigade jokowi: sby harus minta maaf -url- ",sea games,neutral
"tak usah kita nak mengata haziq nadzli tu , dia main sea games , kau ? ada? tah2 kat skolah pun tak dapat main ",sea games,positive
jonatan christie hapus dahaga emas tunggal putra di sea games -url- -url- ,sea games,neutral
"hasil sea games 2017 belum sesuai target, menpora: &8206;kita akan evaluasi! -url- -url- ",sea games,neutral
"ms blaja, kau struggle smpi final. bkn sbb tak cerdik tp nk yg terbaik. same goes to all sea games 2017. congrats malaysia. u did the best! ",sea games,positive
yeeyyy thailand menang selamat thailand sudah dapat emas di ajang sepakbola sea games  $smile$ ,sea games,neutral
"olah raga salah di urus, indonesia negara dengan jumlah penduduk terbesar, prestasi jeblok dalam sea games 2017.. ",sea games,neutral
highlights goal dan peluang-peluang yang tercipta di pertandingan malaysia vs thailand di final sea games 2017. -url- lca0i  -url- ,sea games,neutral
"09 okezonenews hasil sea games 2017 belum sesuai target, menpora: &8206;kita akan evaluasi!  -url- ",sea games,neutral
"target di sea games 2017 tak tercapai, menpora minta maaf -url- -url- ",sea games,neutral
5 pemain timnas indonesia sea games yang bisa jadi andalan di aff 2018 -url-  -url- ,sea games,neutral
kompilasi gol timnas u-22 indonesia sepak bola sea games -url- ,sea games,neutral
"setelah sea games 2017, luis milla punya rencana besar untuk sepak bola indonesia -url- via -name- ",sea games,neutral
1) dpt 111 pingat emas 28/8 2) menang bola 29/8 3) johan keseluruhan closing sea games 30/8 4) hari kemerdekaan 31/8 ,sea games,neutral
"-topic- 06.00 *** indonesia gagal capai target sea games , menpora diminta mundur { -url-  } ",sea games,neutral
"pa menpora harus buka kitab kuning lagi ning, ko hasilnya jeblog di sea games kali ini? ",sea games,neutral
"hari ini closing ceremony sea games 2017 akan digelar di stadion nasional bukit jalil, kuala lumpur, malaysia...... -url- ",sea games,neutral
17 jawapos 5 pemain timnas indonesia sea games yang bisa jadi andalan di aff 2018 -url- ,sea games,neutral
