text,target,label
"sukses rebut perungu sea games 2017, ini komentar luis mila $URL$ $URL$",sea games,neutral
presiden sebelum tidak pernah ikut sea games bang!,sea games,neutral
"bawa pulang perungu sea games 2017, timnas u-2 bisa tersenyum | pikiran rakyat $URL$ via $MENTION$",sea games,neutral
"baru terjadi di presiden sekarang, peringkat 5 sea games . presiden sebelum bisa apa.? $URL$",sea games,neutral
"akhir malaysia merasakan kesedihan di kandang, usai kalah 0-1 dari thailand di final sepakbola sea games $URL$ .",sea games,neutral
saya suka video $MENTION$ $URL$ indonesia vs myanmar 3-1 - indonesia rebut medali perungu sea games 2017 sepak bola,sea games,neutral
saksikan live streaming lompat indah sea games $URL$ $URL$,sea games,neutral
tangapan presiden jokowi soal bendera indonesia terbalik di sea games 2017 $URL$ via $MENTION$ $MENTION$,sea games,neutral
"ha raih 2 emas, pertama kali indonesia gagal juara umum di cabor bulu tangkis sea games $URL$",sea games,neutral
terharu dapat pergi closing sea games . semalam pasrah gile tidur awal sebab taknak kecewa tak dapat pergi,sea games,positive
jonatan christie ungkap kunci sukses di sea games 2017 $URL$,sea games,neutral
"taklukan myanmar 3-1, timnas u-2 sabet perungu sea games 2017 $MENTION$ $URL$",sea games,neutral
$MENTION$ jonatan christie ungkap kunci sukses di sea games 2017 jonatan christie meraih m $URL$,sea games,neutral
me : along. alg : hm me : malam ni pi tgk c sea games alg : hm $MENTION$,sea games,neutral
"pecundangi malaysia, thailand juara sepakbola sea games 2017 $URL$",sea games,neutral
"raih medali perungu sea games 2017, ini komentar ryuji utomo $URL$ $URL$",sea games,neutral
"perlu di apresiasi sih , pemerintah cq kemenpora telah berhasil mengabungkan sea games dgn pancasila, olahraga pun cinta dengan angka 5.",sea games,positive
indonesia vs myanmar 3-1 sea games 2017 ! indonesia vs myanmar ! myanmar. $URL$ via $MENTION$,sea games,neutral
she slays sea games when she's 15? and got bronze! wow.aku umur 23 pon belum tentu dapat top 20 dik. tahniah weh!,sea games,neutral
the next sea games yg malaysia akan jadi tuan rumah lagi adalah pada 20 tahun akan dtg so it means my age is 41 tahun at that time.,sea games,neutral
heh.pala tok.malar jak fikir main bol sea games kmarik,sea games,neutral
"sea games 2017, statistik satria tama kalahkan gianluigi bufon $URL$",sea games,neutral
"$MENTION$ taklukan myanmar 3-1, timnas u-2 sabet perungu sea games 2017 $MENTION$ $URL$",sea games,neutral
ful time : final sea games (sepakbola) malaysia 0 1 thailand muhehehehe malingsial kalah di final,sea games,neutral
i liked a $MENTION$ video $URL$ hebat ! pesilat psht puspa arum sari mengharumkan nama bangsa di ajang sea games,sea games,neutral
catatan indonesia kalahkan myanmar 3 1 di sea games malaysia $URL$ $URL$,sea games,neutral
pada masa rezim inilah indonesia tdk berdaya pada event sea games . posisi lima eui.,sea games,neutral
"di sea games kemarin kita berada di bawah malaysia, vietnam, thailand, dan singapura. secara umum, bisa jadi proxy kekuatan ekonomi.",sea games,neutral
indonesia tak takut sea games di malaysia 2017,sea games,positive
"budak suka makan dadih, dadih di makan lagi dan lagi, oh malaysiaku janganlah sedih, sea games lain kita. $URL$",sea games,neutral
adam beberapa tackle yg kemas dan juga careles mistake.mungkin match paling teruk dalam sea games edisi kali ini.kesuluruhan konsisten.,sea games,neutral
$MENTION$ | kompas : darurat olahraga indonesia. menpora meminta maf atas kegagal;an ri di sea games 2017,sea games,neutral
"target sea games tak terpenuhi, menpora minta maf dan bertangung jawab $URL$",sea games,neutral
"siapa saja yang berhasil meraih medali emas di sea games 2017 hinga selasa, 29 agustus? $URL$ $URL$",sea games,neutral
"ganda campuran gagal di sea games , ini kata richard mainaky $URL$ $URL$",sea games,neutral
$MENTION$ : mereka yang masih (berkesempatan) berlaga di sea games selanjut ! $URL$ $MENTION$,sea games,neutral
"$MENTION$ target di sea games 2017 tak tercapai, menpora minta maf. target nikah jg tak tercapai, jgn minta maf tp minta jodoh $MENTION$",sea games,neutral
gaduh ape ni abang sprinter. plis buat comeback nk tgok awak main sea games,sea games,neutral
"banyak korban cedera di sea games 2017 malaysia, ada apa: $URL$ via $MENTION$",sea games,neutral
semua negara tak takut sama sea games di malaysia 2017,sea games,positive
"sea games 2017: malaysia juara, indonesia gagal capai target $MENTION$ .co.id - berita $MENTION$ $MENTION$ $URL$",sea games,neutral
indonesia tak takut malaysia sea games 2017,sea games,positive
"duh, dalam sejarah prestasi sea games indonesia terpuruk di era jokowi $URL$ $URL$",sea games,neutral
"berakhir dengan perungu di sea games 2017, luis mila ucapkan terima kasih kepada suporter $URL$",sea games,neutral
thailand sama gak senang sea games di malaysia 2017,sea games,neutral
"taklukan myanmar 3-1, timnas u-2 sabet perungu sea games 2017 $URL$ $MENTION$ $MENTION$ $MENTION$",sea games,neutral
ada ke yang nak jual ticket closing ceremo sea games lagi,sea games,neutral
"$URL$ hamdalah, taekwondoin asal riau sumbang emas di sea games 2017 $MENTION$ $MENTION$",sea games,neutral
jk kecewa hasil sea games 2017 $URL$ via $MENTION$,sea games,neutral
"hasil sea games memprihatinkan, menpora minta maf $URL$ via $MENTION$",sea games,neutral
"bangun tidur lihat berita malaysia kalah lawan thailand di final sepak bola sea games . hahaha, mang enak?",sea games,negative
"okezonenews hasil sea games 2017 belum sesuai target, menpora: &8206;kita akan evaluasi! $URL$ $URL$",sea games,neutral
kirim foto/video dukunganmu untuk tim indonesia di arena sea games ! ada hadiah menanti! $MENTION$ $MENTION$ $URL$,sea games,neutral
indonesia vs myanmar 3-1 sea games 2017 ! indonesia vs myanmar ! myanmar vs indonesia: $URL$ via $MENTION$,sea games,neutral
"atlet indonesia terpuruk di sea games akibat pemerintah sebelumnya, brigade jokowi: sby harus minta maf $URL$",sea games,neutral
"tak usah kita nak mengata haziq nadzli tu , dia main sea games , kau ? ada? tah2 kat skolah pun tak dapat main",sea games,positive
jonatan christie hapus dahaga emas tungal putra di sea games $URL$ $URL$,sea games,neutral
"hasil sea games 2017 belum sesuai target, menpora: &8206;kita akan evaluasi! $URL$ $URL$",sea games,neutral
"ms blaja, kau strugle smpi final. bkn sb tak cerdik tp nk yg terbaik. same goes to al sea games 2017. congrats malaysia. u did the best!",sea games,positive
yey thailand menang selamat thailand sudah dapat emas di ajang sepakbola sea games $smile$,sea games,neutral
"olah raga salah di urus, indonesia negara dengan jumlah penduduk terbesar, prestasi jeblok dalam sea games 2017.",sea games,neutral
highlights goal dan peluang yang tercipta di pertandingan malaysia vs thailand di final sea games 2017. $URL$ lca0i $URL$,sea games,neutral
"09 okezonenews hasil sea games 2017 belum sesuai target, menpora: &8206;kita akan evaluasi! $URL$",sea games,neutral
"target di sea games 2017 tak tercapai, menpora minta maf $URL$ $URL$",sea games,neutral
5 pemain timnas indonesia sea games yang bisa jadi andalan di af 2018 $URL$ $URL$,sea games,neutral
kompilasi gol timnas u-2 indonesia sepak bola sea games $URL$,sea games,neutral
"setelah sea games 2017, luis mila pu rencana besar untuk sepak bola indonesia $URL$ via $MENTION$",sea games,neutral
1) dpt 1 pingat emas 28/8 2) menang bola 29/8 3) johan keseluruhan closing sea games 30/8 4) hari kemerdekan 31/8,sea games,neutral
"$MENTION$ 06.0 * indonesia gagal capai target sea games , menpora diminta mundur { $URL$ }",sea games,neutral
"pa menpora harus buka kitab kuning lagi ning, ko hasil jeblog di sea games kali ini?",sea games,neutral
