Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,label,text,target,indo_tweet,indo_target
0,0,0,neutral,"successfully win the bronze of the 2017 sea games, this is luis milla's comment <url> <url>",sea games,"Sukses Rebut Perunggu SEA Games 2017, Ini Komentar Luis Milla https://bolalob.com/read/62644/sukses-rebut-perunggu-sea-games-2017-ini-komentar-luis-milla  http://pic.twitter.com/taLxgpz9Po",SEA Games
1,1,1,neutral,the previous president never joined the sea games!,sea games,Presiden Sebelumnya tidak pernah ikut Sea Games bang!,Sea Games
2,2,2,neutral,"bring home bronze 2017 sea games, u-22 national team can smile | pikiran rakyat <url> via @pikiran_rakyat",sea games,"Bawa Pulang Perunggu SEA Games 2017, Timnas U-22 Bisa Tersenyum | Pikiran Rakyat http://www.pikiran-rakyat.com/olah-raga/2017/08/29/bawa-pulang-perunggu-sea-games-2017-timnas-u-22-bisa-tersenyum-408336  via @pikiran_rakyat",SEA Games
3,3,3,neutral,"just happened in the current president, ranked 5th sea games. what can the previous president ...? <url>",sea games,"Baru terjadi di presiden sekarang, peringkat 5 sea games . Presiden sebelumnya bisa apa...? https://twitter.com/ruhutsitompul/status/902677166092984320",sea games
4,4,4,neutral,"finally malaysia felt sadness at home, after losing 0-1 to thailand in the sea games final football <url> ...",sea games,"Akhirnya Malaysia Merasakan Kesedihan di Kandang, Usai Kalah 0-1 dari Thailand di Final Sepakbola SEA Games https://goo.gl/gJLt6h ..",SEA Games
5,5,5,neutral,i like the video @youtube <url> indonesia vs myanmar 3-1 - indonesia rebut bronzes sea games 2017 ball media,sea games,Saya suka video @YouTube http://youtu.be/J996clPlQOM?a INDONESIA VS MYANMAR 3-1 - INDONESIA REBUT MEDALI PERUNGGU SEA GAMES 2017 SEPAK BOLA,SEA GAMES
6,6,6,neutral,watch the sea games beautiful jump streaming <url> <url>,sea games,Saksikan Live Streaming Lompat Indah SEA Games http://dlvr.it/PjW3Jr http://pic.twitter.com/1GEEghYt3v,SEA Games
7,7,7,neutral,president jokowi's response to the indonesian flag reversed at sea games 2017 <url> via @dreamersradioid # dreamersxmubank,sea games,Tanggapan Presiden Jokowi Soal Bendera Indonesia Terbalik di Sea Games 2017 http://berita.dreamers.id/article/65894/tanggapan-presiden-jokowi-soal-bendera-indonesia-terbalik-di-sea-games-2017  via @DreamersRadioID #DreamersXMubank,Sea Games
8,8,8,neutral,"only won 2 gold, the first time indonesia failed to win the overall champion in sea games badminton sports <url>",sea games,"Hanya Raih 2 Emas, Pertama Kalinya Indonesia Gagal Juara Umum di Cabor Bulu Tangkis SEA Games http://dlvr.it/PjW2ht",SEA Games
9,9,9,positive,"you can go to closing sea games. last night, i surrendered gilee to sleep early because i wasn't disappointed i couldn't leave",sea games,Terharuuuu dapat pergi closing sea games . Semalam pasrah gilee tidur awal sebab taknak kecewa tak dapat pergi,sea games
10,10,10,neutral,jonatan christie reveals the key to success at the 2017 sea games <url>,sea games,Jonatan Christie Ungkap Kunci Sukses di SEA Games 2017 http://dlvr.it/PjW1TB,SEA Games
11,11,11,neutral,"conquer myanmar 3-1, u-22 national team bronze bronze sea games 2017 #semanggimagetan <url>",sea games,"Taklukkan Myanmar 3-1, Timnas U-22 Sabet Perunggu SEA Games 2017 #SemanggiMagetan http://pic.twitter.com/totxoE0QOr",SEA Games
12,12,12,neutral,@null jonatan christie revealed the key to success at the 2017 sea games jonatan christie won m <url> reveal-kunci-sukses-di-sea-games-2017 -news,sea games,@null Jonatan Christie Ungkap Kunci Sukses di SEA Games 2017 Jonatan Christie meraih m http://sport.viva.co.id/news/read/951566-jonatan-christie-ungkap-kunci-sukses-di-sea-games-2017-berita,SEA Games
