Start Experiment
Epoch 0
Validation accuracy:0.589018302828619
Test accuracy:0.6767857142857143
Epoch 1
Validation accuracy:0.5906821963394343
Test accuracy:0.6821428571428572
Epoch 2
Validation accuracy:0.6139767054908486
Test accuracy:0.68125
Epoch 3
Validation accuracy:0.6089850249584027
Test accuracy:0.66875
Epoch 4
Validation accuracy:0.6056572379367721
Test accuracy:0.65
Epoch 5
Validation accuracy:0.6339434276206323
Test accuracy:0.6857142857142857
Epoch 6
Validation accuracy:0.6306156405990017
Test accuracy:0.6875
Epoch 7
Validation accuracy:0.6289517470881864
Test accuracy:0.6848214285714286
Epoch 8
Validation accuracy:0.6389351081530782
Test accuracy:0.6946428571428571
Epoch 9
Validation accuracy:0.6655574043261231
Test accuracy:0.7107142857142857
Epoch 10
Validation accuracy:0.6589018302828619
Test accuracy:0.7
Epoch 11
Validation accuracy:0.6755407653910149
Test accuracy:0.70625
Epoch 12
Validation accuracy:0.670549084858569
Test accuracy:0.6973214285714285
Epoch 13
Validation accuracy:0.6772046589018302
Test accuracy:0.7008928571428571
Epoch 14
Validation accuracy:0.6589018302828619
Test accuracy:0.6553571428571429
Epoch 15
Validation accuracy:0.6938435940099834
Test accuracy:0.7178571428571429
Epoch 16
Validation accuracy:0.6888519134775375
Test accuracy:0.7125
Epoch 17
Validation accuracy:0.6821963394342762
Test accuracy:0.6955357142857143
Epoch 18
Validation accuracy:0.6722129783693843
Test accuracy:0.7008928571428571
Epoch 19
Validation accuracy:0.670549084858569
Test accuracy:0.7044642857142858
Epoch 20
Validation accuracy:0.6755407653910149
Test accuracy:0.6946428571428571
Epoch 21
Validation accuracy:0.6821963394342762
Test accuracy:0.6991071428571428
Epoch 22
Validation accuracy:0.6738768718801996
Test accuracy:0.70625
Epoch 23
Validation accuracy:0.6921797004991681
Test accuracy:0.7178571428571429
Epoch 24
Validation accuracy:0.6821963394342762
Test accuracy:0.7080357142857143
Epoch 25
Validation accuracy:0.6871880199667221
Test accuracy:0.7044642857142858
Epoch 26
Validation accuracy:0.6722129783693843
Test accuracy:0.7017857142857142
Epoch 27
Validation accuracy:0.6855241264559068
Test accuracy:0.7160714285714286
Epoch 28
Validation accuracy:0.6821963394342762
Test accuracy:0.7017857142857142
Epoch 29
Validation accuracy:0.6871880199667221
Test accuracy:0.70625
