Start Experiment
Epoch 0
Validation accuracy:0.610648918469218
Testing accuracy:0.65
Epoch 1
Validation accuracy:0.6888519134775375
Testing accuracy:0.7232142857142857
Epoch 2
Validation accuracy:0.7237936772046589
Testing accuracy:0.7321428571428571
Epoch 3
Validation accuracy:0.6838602329450915
Testing accuracy:0.7339285714285714
Epoch 4
Validation accuracy:0.7371048252911814
Testing accuracy:0.7589285714285714
Epoch 5
Validation accuracy:0.7138103161397671
Testing accuracy:0.7535714285714286
Epoch 6
Validation accuracy:0.7337770382695508
Testing accuracy:0.7633928571428571
Epoch 7
Validation accuracy:0.740432612312812
Testing accuracy:0.75625
Epoch 8
Validation accuracy:0.7354409317803661
Testing accuracy:0.7642857142857142
Epoch 9
Validation accuracy:0.7138103161397671
Testing accuracy:0.7446428571428572
Epoch 10
Validation accuracy:0.7221297836938436
Testing accuracy:0.7598214285714285
Epoch 11
Validation accuracy:0.7171381031613977
Testing accuracy:0.7553571428571428
Epoch 12
Validation accuracy:0.7271214642262895
Testing accuracy:0.7553571428571428
Epoch 13
Validation accuracy:0.7354409317803661
Testing accuracy:0.7580357142857143
Epoch 14
Validation accuracy:0.7354409317803661
Testing accuracy:0.7598214285714285
Epoch 15
Validation accuracy:0.7487520798668885
Testing accuracy:0.7580357142857143
Epoch 16
Validation accuracy:0.7504159733777038
Testing accuracy:0.7553571428571428
Epoch 17
Validation accuracy:0.7470881863560732
Testing accuracy:0.7589285714285714
Epoch 18
Validation accuracy:0.7537437603993344
Testing accuracy:0.7589285714285714
Epoch 19
Validation accuracy:0.7387687188019967
Testing accuracy:0.7482142857142857
Epoch 20
Validation accuracy:0.7437603993344426
Testing accuracy:0.7598214285714285
Epoch 21
Validation accuracy:0.7304492512479202
Testing accuracy:0.7535714285714286
Epoch 22
Validation accuracy:0.7487520798668885
Testing accuracy:0.75
Epoch 23
Validation accuracy:0.7504159733777038
Testing accuracy:0.7526785714285714
Epoch 24
Validation accuracy:0.740432612312812
Testing accuracy:0.75
Epoch 25
Validation accuracy:0.7387687188019967
Testing accuracy:0.74375
Epoch 26
Validation accuracy:0.7470881863560732
Testing accuracy:0.7517857142857143
Epoch 27
Validation accuracy:0.7454242928452579
Testing accuracy:0.7544642857142857
Epoch 28
Validation accuracy:0.7420965058236273
Testing accuracy:0.75
Epoch 29
Validation accuracy:0.7237936772046589
Testing accuracy:0.74375
