Start Experiment
Epoch 0
Validation accuracy:0.7121464226289518
Testing accuracy:0.7714285714285715
Epoch 1
Validation accuracy:0.7420965058236273
Testing accuracy:0.7714285714285715
Epoch 2
Validation accuracy:0.7520798668885191
Testing accuracy:0.7794642857142857
Epoch 3
Validation accuracy:0.7587354409317804
Testing accuracy:0.7875
Epoch 4
Validation accuracy:0.7554076539101497
Testing accuracy:0.7794642857142857
Epoch 5
Validation accuracy:0.7720465890183028
Testing accuracy:0.7776785714285714
Epoch 6
Validation accuracy:0.757071547420965
Testing accuracy:0.7723214285714286
Epoch 7
Validation accuracy:0.7587354409317804
Testing accuracy:0.7830357142857143
Epoch 8
Validation accuracy:0.7803660565723793
Testing accuracy:0.7857142857142857
Epoch 9
Validation accuracy:0.7554076539101497
Testing accuracy:0.7830357142857143
Epoch 10
Validation accuracy:0.7637271214642263
Testing accuracy:0.7803571428571429
Epoch 11
Validation accuracy:0.7603993344425957
Testing accuracy:0.7830357142857143
Epoch 12
Validation accuracy:0.7603993344425957
Testing accuracy:0.7803571428571429
Epoch 13
Validation accuracy:0.757071547420965
Testing accuracy:0.7723214285714286
Epoch 14
Validation accuracy:0.7737104825291181
Testing accuracy:0.7785714285714286
