Start Experiment
Epoch 0
Validation accuracy:0.6688851913477537
Testing accuracy:0.7131367292225201
Epoch 1
Validation accuracy:0.7171381031613977
Testing accuracy:0.7685433422698839
Epoch 2
Validation accuracy:0.7504159733777038
Testing accuracy:0.7712243074173369
Epoch 3
Validation accuracy:0.7387687188019967
Testing accuracy:0.7685433422698839
Epoch 4
Validation accuracy:0.7437603993344426
Testing accuracy:0.7694369973190348
Epoch 5
Validation accuracy:0.7354409317803661
Testing accuracy:0.7631814119749777
Epoch 6
Validation accuracy:0.7504159733777038
Testing accuracy:0.7712243074173369
Epoch 7
Validation accuracy:0.7321131447587355
Testing accuracy:0.7613941018766756
Epoch 8
Validation accuracy:0.740432612312812
Testing accuracy:0.773011617515639
Epoch 9
Validation accuracy:0.7537437603993344
Testing accuracy:0.7667560321715817
Epoch 10
Validation accuracy:0.7504159733777038
Testing accuracy:0.7640750670241286
Epoch 11
Validation accuracy:0.7487520798668885
Testing accuracy:0.7676496872207328
Epoch 12
Validation accuracy:0.7437603993344426
Testing accuracy:0.7667560321715817
Epoch 13
Validation accuracy:0.7504159733777038
Testing accuracy:0.7640750670241286
Epoch 14
Validation accuracy:0.7437603993344426
Testing accuracy:0.7560321715817694
Epoch 15
Validation accuracy:0.7554076539101497
Testing accuracy:0.7765862377122431
Epoch 16
Validation accuracy:0.7420965058236273
Testing accuracy:0.7667560321715817
Epoch 17
Validation accuracy:0.7387687188019967
Testing accuracy:0.7622877569258266
Epoch 18
Validation accuracy:0.7504159733777038
Testing accuracy:0.7765862377122431
Epoch 19
Validation accuracy:0.7387687188019967
Testing accuracy:0.7622877569258266
Epoch 20
Validation accuracy:0.7454242928452579
Testing accuracy:0.7721179624664879
Epoch 21
Validation accuracy:0.7487520798668885
Testing accuracy:0.7694369973190348
Epoch 22
Validation accuracy:0.7420965058236273
Testing accuracy:0.77390527256479
Epoch 23
Validation accuracy:0.7437603993344426
Testing accuracy:0.775692582663092
Epoch 24
Validation accuracy:0.7470881863560732
Testing accuracy:0.77390527256479
Epoch 25
Validation accuracy:0.7454242928452579
Testing accuracy:0.775692582663092
Epoch 26
Validation accuracy:0.7437603993344426
Testing accuracy:0.773011617515639
Epoch 27
Validation accuracy:0.740432612312812
Testing accuracy:0.7765862377122431
Epoch 28
Validation accuracy:0.740432612312812
Testing accuracy:0.775692582663092
Epoch 29
Validation accuracy:0.7454242928452579
Testing accuracy:0.775692582663092
Epoch 30
Validation accuracy:0.7420965058236273
Testing accuracy:0.7765862377122431
Epoch 31
Validation accuracy:0.7371048252911814
Testing accuracy:0.7774798927613941
Epoch 32
Validation accuracy:0.7420965058236273
Testing accuracy:0.77390527256479
Epoch 33
Validation accuracy:0.7437603993344426
Testing accuracy:0.7774798927613941
Epoch 34
Validation accuracy:0.740432612312812
Testing accuracy:0.77390527256479
