Start Experiment
Epoch 0
Validation accuracy:0.7021630615640599
Testing accuracy:0.7560321715817694
Epoch 1
Validation accuracy:0.6638935108153078
Testing accuracy:0.7220732797140303
Epoch 2
Validation accuracy:0.7337770382695508
Testing accuracy:0.7792672028596962
Epoch 3
Validation accuracy:0.7171381031613977
Testing accuracy:0.774798927613941
Epoch 4
Validation accuracy:0.7071547420965059
Testing accuracy:0.7256478999106345
Epoch 5
Validation accuracy:0.718801996672213
Testing accuracy:0.7631814119749777
Epoch 6
Validation accuracy:0.6855241264559068
Testing accuracy:0.7336907953529938
Epoch 7
Validation accuracy:0.7121464226289518
Testing accuracy:0.7622877569258266
Epoch 8
Validation accuracy:0.7204658901830283
Testing accuracy:0.77390527256479
Epoch 9
Validation accuracy:0.7337770382695508
Testing accuracy:0.7640750670241286
Epoch 10
Validation accuracy:0.7287853577371048
Testing accuracy:0.7712243074173369
Epoch 11
Validation accuracy:0.7237936772046589
Testing accuracy:0.7631814119749777
Epoch 12
Validation accuracy:0.7304492512479202
Testing accuracy:0.7667560321715817
Epoch 13
Validation accuracy:0.7221297836938436
Testing accuracy:0.7596067917783735
Epoch 14
Validation accuracy:0.7271214642262895
Testing accuracy:0.7694369973190348
Epoch 15
Validation accuracy:0.7371048252911814
Testing accuracy:0.7676496872207328
Epoch 16
Validation accuracy:0.7387687188019967
Testing accuracy:0.775692582663092
Epoch 17
Validation accuracy:0.7304492512479202
Testing accuracy:0.773011617515639
Epoch 18
Validation accuracy:0.7271214642262895
Testing accuracy:0.7721179624664879
Epoch 19
Validation accuracy:0.7221297836938436
Testing accuracy:0.7721179624664879
Epoch 20
Validation accuracy:0.7104825291181365
Testing accuracy:0.7658623771224308
Epoch 21
Validation accuracy:0.7138103161397671
Testing accuracy:0.7792672028596962
Epoch 22
Validation accuracy:0.7287853577371048
Testing accuracy:0.773011617515639
Epoch 23
Validation accuracy:0.7337770382695508
Testing accuracy:0.7721179624664879
Epoch 24
Validation accuracy:0.7271214642262895
Testing accuracy:0.7667560321715817
Epoch 25
Validation accuracy:0.7304492512479202
Testing accuracy:0.7765862377122431
Epoch 26
Validation accuracy:0.7321131447587355
Testing accuracy:0.7792672028596962
Epoch 27
Validation accuracy:0.7321131447587355
Testing accuracy:0.773011617515639
Epoch 28
Validation accuracy:0.7304492512479202
Testing accuracy:0.7658623771224308
Epoch 29
Validation accuracy:0.7204658901830283
Testing accuracy:0.7649687220732797
