Start Experiment
Epoch 0
Validation accuracy:0.718801996672213
Testing accuracy:0.7605004468275246
Epoch 1
Validation accuracy:0.718801996672213
Testing accuracy:0.7631814119749777
Epoch 2
Validation accuracy:0.6888519134775375
Testing accuracy:0.7131367292225201
Epoch 3
Validation accuracy:0.7237936772046589
Testing accuracy:0.7622877569258266
Epoch 4
Validation accuracy:0.7437603993344426
Testing accuracy:0.7506702412868632
Epoch 5
Validation accuracy:0.7470881863560732
Testing accuracy:0.7685433422698839
Epoch 6
Validation accuracy:0.7337770382695508
Testing accuracy:0.741733690795353
Epoch 7
Validation accuracy:0.7470881863560732
Testing accuracy:0.7301161751563896
Epoch 8
Validation accuracy:0.7387687188019967
Testing accuracy:0.7605004468275246
Epoch 9
Validation accuracy:0.7537437603993344
Testing accuracy:0.775692582663092
Epoch 10
Validation accuracy:0.7487520798668885
Testing accuracy:0.7676496872207328
Epoch 11
Validation accuracy:0.7537437603993344
Testing accuracy:0.77390527256479
Epoch 12
Validation accuracy:0.7687188019966722
Testing accuracy:0.7846291331546024
Epoch 13
Validation accuracy:0.7504159733777038
Testing accuracy:0.7694369973190348
Epoch 14
Validation accuracy:0.757071547420965
Testing accuracy:0.77390527256479
Epoch 15
Validation accuracy:0.7554076539101497
Testing accuracy:0.7703306523681859
Epoch 16
Validation accuracy:0.7603993344425957
Testing accuracy:0.7792672028596962
Epoch 17
Validation accuracy:0.762063227953411
Testing accuracy:0.7810545129579982
Epoch 18
Validation accuracy:0.7637271214642263
Testing accuracy:0.7783735478105451
Epoch 19
Validation accuracy:0.7670549084858569
Testing accuracy:0.7864164432529044
Epoch 20
Validation accuracy:0.7587354409317804
Testing accuracy:0.775692582663092
Epoch 21
Validation accuracy:0.757071547420965
Testing accuracy:0.775692582663092
Epoch 22
Validation accuracy:0.7637271214642263
Testing accuracy:0.7828418230563002
Epoch 23
Validation accuracy:0.7587354409317804
Testing accuracy:0.774798927613941
Epoch 24
Validation accuracy:0.7504159733777038
Testing accuracy:0.7765862377122431
Epoch 25
Validation accuracy:0.757071547420965
Testing accuracy:0.774798927613941
Epoch 26
Validation accuracy:0.7653910149750416
Testing accuracy:0.7765862377122431
Epoch 27
Validation accuracy:0.7670549084858569
Testing accuracy:0.7774798927613941
Epoch 28
Validation accuracy:0.762063227953411
Testing accuracy:0.774798927613941
Epoch 29
Validation accuracy:0.7637271214642263
Testing accuracy:0.7801608579088471
