Start Experiment
Epoch 0
Validation accuracy:0.6123128119800333
Testing accuracy:0.6934763181411975
Epoch 1
Validation accuracy:0.6455906821963394
Testing accuracy:0.7193923145665773
Epoch 2
Validation accuracy:0.6638935108153078
Testing accuracy:0.741733690795353
Epoch 3
Validation accuracy:0.6855241264559068
Testing accuracy:0.7453083109919572
Epoch 4
Validation accuracy:0.6755407653910149
Testing accuracy:0.7524575513851653
Epoch 5
Validation accuracy:0.6688851913477537
Testing accuracy:0.7426273458445041
Epoch 6
Validation accuracy:0.6855241264559068
Testing accuracy:0.7649687220732797
Epoch 7
Validation accuracy:0.6871880199667221
Testing accuracy:0.7569258266309205
Epoch 8
Validation accuracy:0.6755407653910149
Testing accuracy:0.7631814119749777
Epoch 9
Validation accuracy:0.6871880199667221
Testing accuracy:0.7462019660411081
Epoch 10
Validation accuracy:0.6772046589018302
Testing accuracy:0.7506702412868632
Epoch 11
Validation accuracy:0.6589018302828619
Testing accuracy:0.7497765862377123
Epoch 12
Validation accuracy:0.6888519134775375
Testing accuracy:0.7605004468275246
Epoch 13
Validation accuracy:0.6855241264559068
Testing accuracy:0.7560321715817694
Epoch 14
Validation accuracy:0.6888519134775375
Testing accuracy:0.7569258266309205
Epoch 15
Validation accuracy:0.6755407653910149
Testing accuracy:0.7524575513851653
Epoch 16
Validation accuracy:0.6921797004991681
Testing accuracy:0.7649687220732797
Epoch 17
Validation accuracy:0.6938435940099834
Testing accuracy:0.774798927613941
Epoch 18
Validation accuracy:0.697171381031614
Testing accuracy:0.7542448614834674
Epoch 19
Validation accuracy:0.6888519134775375
Testing accuracy:0.7676496872207328
Epoch 20
Validation accuracy:0.6838602329450915
Testing accuracy:0.741733690795353
Epoch 21
Validation accuracy:0.6955074875207987
Testing accuracy:0.7596067917783735
Epoch 22
Validation accuracy:0.7004991680532446
Testing accuracy:0.7560321715817694
Epoch 23
Validation accuracy:0.7004991680532446
Testing accuracy:0.7578194816800715
Epoch 24
Validation accuracy:0.6988352745424293
Testing accuracy:0.7605004468275246
Epoch 25
Validation accuracy:0.697171381031614
Testing accuracy:0.739946380697051
Epoch 26
Validation accuracy:0.6921797004991681
Testing accuracy:0.7497765862377123
Epoch 27
Validation accuracy:0.7021630615640599
Testing accuracy:0.7444146559428061
Epoch 28
Validation accuracy:0.7038269550748752
Testing accuracy:0.7408400357462019
Epoch 29
Validation accuracy:0.7054908485856906
Testing accuracy:0.7444146559428061
