Start Experiment
Epoch 0
Validation accuracy:0.5757071547420965
Testing accuracy:0.6508928571428572
Epoch 1
Validation accuracy:0.5806988352745425
Testing accuracy:0.6589285714285714
Epoch 2
Validation accuracy:0.6073211314475874
Testing accuracy:0.6607142857142857
Epoch 3
Validation accuracy:0.6189683860232945
Testing accuracy:0.675
Epoch 4
Validation accuracy:0.6239600665557404
Testing accuracy:0.6705357142857142
Epoch 5
Validation accuracy:0.632279534109817
Testing accuracy:0.6794642857142857
Epoch 6
Validation accuracy:0.6339434276206323
Testing accuracy:0.6767857142857143
Epoch 7
Validation accuracy:0.6356073211314476
Testing accuracy:0.6794642857142857
Epoch 8
Validation accuracy:0.6356073211314476
Testing accuracy:0.6741071428571429
Epoch 9
Validation accuracy:0.6505823627287853
Testing accuracy:0.6821428571428572
Epoch 10
Validation accuracy:0.64891846921797
Testing accuracy:0.6839285714285714
Epoch 11
Validation accuracy:0.6472545757071547
Testing accuracy:0.6785714285714286
Epoch 12
Validation accuracy:0.6572379367720466
Testing accuracy:0.6821428571428572
Epoch 13
Validation accuracy:0.6572379367720466
Testing accuracy:0.6839285714285714
Epoch 14
Validation accuracy:0.6572379367720466
Testing accuracy:0.6839285714285714
Epoch 15
Validation accuracy:0.6522462562396006
Testing accuracy:0.6830357142857143
Epoch 16
Validation accuracy:0.6555740432612313
Testing accuracy:0.68125
Epoch 17
Validation accuracy:0.6605657237936772
Testing accuracy:0.6839285714285714
Epoch 18
Validation accuracy:0.6605657237936772
Testing accuracy:0.6830357142857143
Epoch 19
Validation accuracy:0.6589018302828619
Testing accuracy:0.68125
Epoch 20
Validation accuracy:0.6589018302828619
Testing accuracy:0.6821428571428572
Epoch 21
Validation accuracy:0.6638935108153078
Testing accuracy:0.68125
Epoch 22
Validation accuracy:0.6589018302828619
Testing accuracy:0.6785714285714286
