Start Experiment
Epoch 0
Validation accuracy:0.7304492512479202
Testing accuracy:0.7625
Epoch 1
Validation accuracy:0.7554076539101497
Testing accuracy:0.7883928571428571
Epoch 2
Validation accuracy:0.762063227953411
Testing accuracy:0.8044642857142857
Epoch 3
Validation accuracy:0.7637271214642263
Testing accuracy:0.7973214285714286
Epoch 4
Validation accuracy:0.762063227953411
Testing accuracy:0.7866071428571428
Epoch 5
Validation accuracy:0.757071547420965
Testing accuracy:0.8
Epoch 6
Validation accuracy:0.7737104825291181
Testing accuracy:0.7991071428571429
Epoch 7
Validation accuracy:0.7670549084858569
Testing accuracy:0.7758928571428572
Epoch 8
Validation accuracy:0.7703826955074875
Testing accuracy:0.8035714285714286
Epoch 9
Validation accuracy:0.7720465890183028
Testing accuracy:0.7910714285714285
Epoch 10
Validation accuracy:0.7670549084858569
Testing accuracy:0.8
Epoch 11
Validation accuracy:0.7737104825291181
Testing accuracy:0.7883928571428571
Epoch 12
Validation accuracy:0.7720465890183028
Testing accuracy:0.8008928571428572
Epoch 13
Validation accuracy:0.7687188019966722
Testing accuracy:0.7982142857142858
Epoch 14
Validation accuracy:0.7670549084858569
Testing accuracy:0.7964285714285714
Epoch 15
Validation accuracy:0.7703826955074875
Testing accuracy:0.7928571428571428
Epoch 16
Validation accuracy:0.7687188019966722
Testing accuracy:0.79375
Epoch 17
Validation accuracy:0.7687188019966722
Testing accuracy:0.8107142857142857
Epoch 18
Validation accuracy:0.7720465890183028
Testing accuracy:0.8026785714285715
Epoch 19
Validation accuracy:0.7687188019966722
Testing accuracy:0.8089285714285714
Epoch 20
Validation accuracy:0.762063227953411
Testing accuracy:0.7991071428571429
Epoch 21
Validation accuracy:0.7653910149750416
Testing accuracy:0.8
Epoch 22
Validation accuracy:0.7687188019966722
Testing accuracy:0.7946428571428571
Epoch 23
Validation accuracy:0.7703826955074875
Testing accuracy:0.8026785714285715
Epoch 24
Validation accuracy:0.7670549084858569
Testing accuracy:0.7982142857142858
Epoch 25
Validation accuracy:0.7653910149750416
Testing accuracy:0.7982142857142858
Epoch 26
Validation accuracy:0.7670549084858569
Testing accuracy:0.8026785714285715
Epoch 27
Validation accuracy:0.7670549084858569
Testing accuracy:0.7964285714285714
Epoch 28
Validation accuracy:0.7703826955074875
Testing accuracy:0.7910714285714285
Epoch 29
Validation accuracy:0.7720465890183028
Testing accuracy:0.8044642857142857
Epoch 30
Validation accuracy:0.7670549084858569
Testing accuracy:0.8071428571428572
Epoch 31
Validation accuracy:0.7687188019966722
Testing accuracy:0.8026785714285715
Epoch 32
Validation accuracy:0.7653910149750416
Testing accuracy:0.8035714285714286
Epoch 33
Validation accuracy:0.7670549084858569
Testing accuracy:0.8035714285714286
Epoch 34
Validation accuracy:0.7653910149750416
Testing accuracy:0.7982142857142858
Epoch 35
Validation accuracy:0.7637271214642263
Testing accuracy:0.7964285714285714
Epoch 36
Validation accuracy:0.7703826955074875
Testing accuracy:0.7910714285714285
Epoch 37
Validation accuracy:0.7703826955074875
Testing accuracy:0.79375
Epoch 38
Validation accuracy:0.7637271214642263
Testing accuracy:0.7982142857142858
Epoch 39
Validation accuracy:0.7653910149750416
Testing accuracy:0.7991071428571429
Epoch 40
Validation accuracy:0.7637271214642263
Testing accuracy:0.7982142857142858
Epoch 41
Validation accuracy:0.7670549084858569
Testing accuracy:0.8
Epoch 42
Validation accuracy:0.7670549084858569
Testing accuracy:0.8008928571428572
Epoch 43
Validation accuracy:0.7687188019966722
Testing accuracy:0.8026785714285715
Epoch 44
Validation accuracy:0.7687188019966722
Testing accuracy:0.79375
Epoch 45
Validation accuracy:0.7687188019966722
Testing accuracy:0.8017857142857143
Epoch 46
Validation accuracy:0.7687188019966722
Testing accuracy:0.7982142857142858
Epoch 47
Validation accuracy:0.7703826955074875
Testing accuracy:0.8071428571428572
Epoch 48
Validation accuracy:0.7687188019966722
Testing accuracy:0.7973214285714286
Epoch 49
Validation accuracy:0.7687188019966722
Testing accuracy:0.8017857142857143
