Adagrad, balanced, regularization 0.001, learning rate:0.5/32

Start Experiment
Epoch 0
Validation accuracy:0.6722129783693843
Testing accuracy:0.7160714285714286
Epoch 1
Validation accuracy:0.6805324459234608
Testing accuracy:0.7321428571428571
Epoch 2
Validation accuracy:0.7304492512479202
Testing accuracy:0.7669642857142858
Epoch 3
Validation accuracy:0.7653910149750416
Testing accuracy:0.7696428571428572
Epoch 4
Validation accuracy:0.757071547420965
Testing accuracy:0.7803571428571429
Epoch 5
Validation accuracy:0.7554076539101497
Testing accuracy:0.7910714285714285
Epoch 6
Validation accuracy:0.7554076539101497
Testing accuracy:0.7848214285714286
Epoch 7
Validation accuracy:0.7437603993344426
Testing accuracy:0.7901785714285714
Epoch 8
Validation accuracy:0.7587354409317804
Testing accuracy:0.7901785714285714
Epoch 9
Validation accuracy:0.7670549084858569
Testing accuracy:0.7883928571428571
Epoch 10
Validation accuracy:0.762063227953411
Testing accuracy:0.79375
Epoch 11
Validation accuracy:0.7537437603993344
Testing accuracy:0.7875
Epoch 12
Validation accuracy:0.7520798668885191
Testing accuracy:0.7839285714285714
Epoch 13
Validation accuracy:0.7603993344425957
Testing accuracy:0.7866071428571428
Epoch 14
Validation accuracy:0.7587354409317804
Testing accuracy:0.7848214285714286
Epoch 15
Validation accuracy:0.7603993344425957
Testing accuracy:0.7857142857142857
Epoch 16
Validation accuracy:0.7637271214642263
Testing accuracy:0.78125
Epoch 17
Validation accuracy:0.7603993344425957
Testing accuracy:0.7839285714285714
Epoch 18
Validation accuracy:0.7637271214642263
Testing accuracy:0.7767857142857143
Epoch 19
Validation accuracy:0.7653910149750416
Testing accuracy:0.7821428571428571
Epoch 20
Validation accuracy:0.7703826955074875
Testing accuracy:0.7830357142857143
Epoch 21
Validation accuracy:0.762063227953411
Testing accuracy:0.7821428571428571
Epoch 22
Validation accuracy:0.7670549084858569
Testing accuracy:0.7803571428571429
Epoch 23
Validation accuracy:0.7637271214642263
Testing accuracy:0.7839285714285714
Epoch 24
Validation accuracy:0.7587354409317804
Testing accuracy:0.7839285714285714
Epoch 25
Validation accuracy:0.7653910149750416
Testing accuracy:0.7839285714285714
Epoch 26
Validation accuracy:0.7670549084858569
Testing accuracy:0.7767857142857143
Epoch 27
Validation accuracy:0.762063227953411
Testing accuracy:0.7848214285714286
Epoch 28
Validation accuracy:0.762063227953411
Testing accuracy:0.7830357142857143
Epoch 29
Validation accuracy:0.7653910149750416
Testing accuracy:0.7803571428571429
Epoch 30
Validation accuracy:0.7670549084858569
Testing accuracy:0.7794642857142857
Epoch 31
Validation accuracy:0.7653910149750416
Testing accuracy:0.7776785714285714
Epoch 32
Validation accuracy:0.7637271214642263
Testing accuracy:0.7839285714285714
Epoch 33
Validation accuracy:0.7687188019966722
Testing accuracy:0.7821428571428571
Epoch 34
Validation accuracy:0.7637271214642263
Testing accuracy:0.7839285714285714
Epoch 35
Validation accuracy:0.7637271214642263
Testing accuracy:0.7848214285714286
Epoch 36
Validation accuracy:0.7603993344425957
Testing accuracy:0.7857142857142857
Epoch 37
Validation accuracy:0.7653910149750416
Testing accuracy:0.7848214285714286
Epoch 38
Validation accuracy:0.7670549084858569
Testing accuracy:0.78125
Epoch 39
Validation accuracy:0.7637271214642263
Testing accuracy:0.7821428571428571
Epoch 40
Validation accuracy:0.7637271214642263
Testing accuracy:0.7785714285714286
Epoch 41
Validation accuracy:0.762063227953411
Testing accuracy:0.7839285714285714
Epoch 42
Validation accuracy:0.7637271214642263
Testing accuracy:0.7857142857142857
Epoch 43
Validation accuracy:0.762063227953411
Testing accuracy:0.7821428571428571
Epoch 44
Validation accuracy:0.762063227953411
Testing accuracy:0.7785714285714286
Epoch 45
Validation accuracy:0.7653910149750416
Testing accuracy:0.7830357142857143
Epoch 46
Validation accuracy:0.762063227953411
Testing accuracy:0.7830357142857143
Epoch 47
Validation accuracy:0.7637271214642263
Testing accuracy:0.7821428571428571
Epoch 48
Validation accuracy:0.7653910149750416
Testing accuracy:0.7830357142857143
Epoch 49
Validation accuracy:0.762063227953411
Testing accuracy:0.7848214285714286
