Adagrad, learning rate 0.6/ self.batch_size, regularization 0.001, batch_size 32

Start Experiment
Epoch 0
Validation accuracy:0.6888519134775375
Testing accuracy:0.7616071428571428
Epoch 1
Validation accuracy:0.7437603993344426
Testing accuracy:0.7946428571428571
Epoch 2
Validation accuracy:0.7437603993344426
Testing accuracy:0.7633928571428571
Epoch 3
Validation accuracy:0.7420965058236273
Testing accuracy:0.75625
Epoch 4
Validation accuracy:0.7504159733777038
Testing accuracy:0.7919642857142857
Epoch 5
Validation accuracy:0.7487520798668885
Testing accuracy:0.7901785714285714
Epoch 6
Validation accuracy:0.7603993344425957
Testing accuracy:0.7910714285714285
Epoch 7
Validation accuracy:0.757071547420965
Testing accuracy:0.7839285714285714
Epoch 8
Validation accuracy:0.7687188019966722
Testing accuracy:0.79375
Epoch 9
Validation accuracy:0.7653910149750416
Testing accuracy:0.7839285714285714
Epoch 10
Validation accuracy:0.762063227953411
Testing accuracy:0.7875
Epoch 11
Validation accuracy:0.7603993344425957
Testing accuracy:0.7883928571428571
Epoch 12
Validation accuracy:0.762063227953411
Testing accuracy:0.7848214285714286
Epoch 13
Validation accuracy:0.7670549084858569
Testing accuracy:0.7883928571428571
Epoch 14
Validation accuracy:0.7554076539101497
Testing accuracy:0.7919642857142857
Epoch 15
Validation accuracy:0.7587354409317804
Testing accuracy:0.7857142857142857
Epoch 16
Validation accuracy:0.757071547420965
Testing accuracy:0.7830357142857143
Epoch 17
Validation accuracy:0.762063227953411
Testing accuracy:0.7875
Epoch 18
Validation accuracy:0.757071547420965
Testing accuracy:0.7857142857142857
Epoch 19
Validation accuracy:0.7720465890183028
Testing accuracy:0.7848214285714286
Epoch 20
Validation accuracy:0.7670549084858569
Testing accuracy:0.7866071428571428
Epoch 21
Validation accuracy:0.7603993344425957
Testing accuracy:0.7848214285714286
Epoch 22
Validation accuracy:0.7587354409317804
Testing accuracy:0.7875
Epoch 23
Validation accuracy:0.7603993344425957
Testing accuracy:0.7848214285714286
Epoch 24
Validation accuracy:0.7637271214642263
Testing accuracy:0.7857142857142857
Epoch 25
Validation accuracy:0.7653910149750416
Testing accuracy:0.7866071428571428
Epoch 26
Validation accuracy:0.762063227953411
Testing accuracy:0.7892857142857143
Epoch 27
Validation accuracy:0.757071547420965
Testing accuracy:0.7839285714285714
Epoch 28
Validation accuracy:0.7637271214642263
Testing accuracy:0.7910714285714285
Epoch 29
Validation accuracy:0.762063227953411
Testing accuracy:0.7875
Epoch 30
Validation accuracy:0.7637271214642263
Testing accuracy:0.7928571428571428
Epoch 31
Validation accuracy:0.7637271214642263
Testing accuracy:0.7857142857142857
Epoch 32
Validation accuracy:0.762063227953411
Testing accuracy:0.7866071428571428
Epoch 33
Validation accuracy:0.757071547420965
Testing accuracy:0.7866071428571428
Epoch 34
Validation accuracy:0.7637271214642263
Testing accuracy:0.7883928571428571
Epoch 35
Validation accuracy:0.7637271214642263
Testing accuracy:0.7892857142857143
Epoch 36
Validation accuracy:0.762063227953411
Testing accuracy:0.7866071428571428
Epoch 37
Validation accuracy:0.7587354409317804
Testing accuracy:0.7875
Epoch 38
Validation accuracy:0.7653910149750416
Testing accuracy:0.7919642857142857
Epoch 39
Validation accuracy:0.7587354409317804
Testing accuracy:0.7866071428571428
Epoch 40
Validation accuracy:0.7653910149750416
Testing accuracy:0.7883928571428571
Epoch 41
Validation accuracy:0.762063227953411
Testing accuracy:0.7875
Epoch 42
Validation accuracy:0.7637271214642263
Testing accuracy:0.7910714285714285
Epoch 43
Validation accuracy:0.7603993344425957
Testing accuracy:0.7883928571428571
Epoch 44
Validation accuracy:0.7603993344425957
Testing accuracy:0.7883928571428571
Epoch 45
Validation accuracy:0.762063227953411
Testing accuracy:0.7875
Epoch 46
Validation accuracy:0.7603993344425957
Testing accuracy:0.7892857142857143
Epoch 47
Validation accuracy:0.7587354409317804
Testing accuracy:0.7883928571428571
Epoch 48
Validation accuracy:0.7603993344425957
Testing accuracy:0.7883928571428571
Epoch 49
Validation accuracy:0.7653910149750416
Testing accuracy:0.7901785714285714
