Start Experiment
Epoch 0
Validation accuracy:0.8286189683860233
Testing accuracy:0.7866071428571428
Epoch 1
Validation accuracy:0.8752079866888519
Testing accuracy:0.7723214285714286
Epoch 2
Validation accuracy:0.9234608985024958
Testing accuracy:0.8133928571428571
Epoch 3
Validation accuracy:0.9351081530782029
Testing accuracy:0.7910714285714285
Epoch 4
Validation accuracy:0.9467554076539102
Testing accuracy:0.7919642857142857
Epoch 5
Validation accuracy:0.956738768718802
Testing accuracy:0.7991071428571429
Epoch 6
Validation accuracy:0.9534109816971714
Testing accuracy:0.8098214285714286
Epoch 7
Validation accuracy:0.9733777038269551
Testing accuracy:0.7910714285714285
Epoch 8
Validation accuracy:0.978369384359401
Testing accuracy:0.7964285714285714
Epoch 9
Validation accuracy:0.9816971713810316
Testing accuracy:0.8107142857142857
Epoch 10
Validation accuracy:0.9833610648918469
Testing accuracy:0.7901785714285714
Epoch 11
Validation accuracy:0.978369384359401
Testing accuracy:0.8
Epoch 12
Validation accuracy:0.9816971713810316
Testing accuracy:0.8142857142857143
Epoch 13
Validation accuracy:0.9866888519134775
Testing accuracy:0.8008928571428572
Epoch 14
Validation accuracy:0.9816971713810316
Testing accuracy:0.8026785714285715
