Start Experiment
Epoch 0
Validation accuracy:0.589018302828619
Testing accuracy:0.6928571428571428
Epoch 1
Validation accuracy:0.6472545757071547
Testing accuracy:0.7392857142857143
Epoch 2
Validation accuracy:0.6871880199667221
Testing accuracy:0.7669642857142858
Epoch 3
Validation accuracy:0.7354409317803661
Testing accuracy:0.7732142857142857
Epoch 4
Validation accuracy:0.7237936772046589
Testing accuracy:0.7803571428571429
Epoch 5
Validation accuracy:0.7171381031613977
Testing accuracy:0.7794642857142857
Epoch 6
Validation accuracy:0.7204658901830283
Testing accuracy:0.7758928571428572
Epoch 7
Validation accuracy:0.7221297836938436
Testing accuracy:0.7857142857142857
Epoch 8
Validation accuracy:0.7321131447587355
Testing accuracy:0.7758928571428572
Epoch 9
Validation accuracy:0.7171381031613977
Testing accuracy:0.7821428571428571
Epoch 10
Validation accuracy:0.7154742096505824
Testing accuracy:0.7839285714285714
Epoch 11
Validation accuracy:0.7221297836938436
Testing accuracy:0.7875
Epoch 12
Validation accuracy:0.7004991680532446
Testing accuracy:0.7839285714285714
Epoch 13
Validation accuracy:0.7071547420965059
Testing accuracy:0.7767857142857143
Epoch 14
Validation accuracy:0.7254575707154742
Testing accuracy:0.78125
Epoch 15
Validation accuracy:0.7254575707154742
Testing accuracy:0.7803571428571429
Epoch 16
Validation accuracy:0.7071547420965059
Testing accuracy:0.78125
Epoch 17
Validation accuracy:0.7154742096505824
Testing accuracy:0.7821428571428571
Epoch 18
Validation accuracy:0.7321131447587355
Testing accuracy:0.7803571428571429
Epoch 19
Validation accuracy:0.7237936772046589
Testing accuracy:0.7785714285714286
Epoch 20
Validation accuracy:0.7304492512479202
Testing accuracy:0.7830357142857143
Epoch 21
Validation accuracy:0.7287853577371048
Testing accuracy:0.7785714285714286
Epoch 22
Validation accuracy:0.7237936772046589
Testing accuracy:0.78125
Epoch 23
Validation accuracy:0.7171381031613977
Testing accuracy:0.7830357142857143
Epoch 24
Validation accuracy:0.7204658901830283
Testing accuracy:0.7794642857142857
Epoch 25
Validation accuracy:0.7204658901830283
Testing accuracy:0.7803571428571429
Epoch 26
Validation accuracy:0.7121464226289518
Testing accuracy:0.7839285714285714
Epoch 27
Validation accuracy:0.7237936772046589
Testing accuracy:0.7821428571428571
Epoch 28
Validation accuracy:0.7138103161397671
Testing accuracy:0.7803571428571429
Epoch 29
Validation accuracy:0.7204658901830283
Testing accuracy:0.7857142857142857
Epoch 30
Validation accuracy:0.7171381031613977
Testing accuracy:0.7767857142857143
Epoch 31
Validation accuracy:0.7138103161397671
Testing accuracy:0.7839285714285714
Epoch 32
Validation accuracy:0.7171381031613977
Testing accuracy:0.775
Epoch 33
Validation accuracy:0.7271214642262895
Testing accuracy:0.7785714285714286
Epoch 34
Validation accuracy:0.7221297836938436
Testing accuracy:0.7785714285714286
Epoch 35
Validation accuracy:0.7204658901830283
Testing accuracy:0.7758928571428572
Epoch 36
Validation accuracy:0.718801996672213
Testing accuracy:0.7848214285714286
Epoch 37
Validation accuracy:0.7171381031613977
Testing accuracy:0.7767857142857143
Epoch 38
Validation accuracy:0.718801996672213
Testing accuracy:0.7794642857142857
Epoch 39
Validation accuracy:0.7104825291181365
Testing accuracy:0.7785714285714286
Epoch 40
Validation accuracy:0.7171381031613977
Testing accuracy:0.7794642857142857
Epoch 41
Validation accuracy:0.7204658901830283
Testing accuracy:0.7794642857142857
Epoch 42
Validation accuracy:0.7154742096505824
Testing accuracy:0.7830357142857143
Epoch 43
Validation accuracy:0.7154742096505824
Testing accuracy:0.7785714285714286
Epoch 44
Validation accuracy:0.7237936772046589
Testing accuracy:0.7794642857142857
Epoch 45
Validation accuracy:0.7221297836938436
Testing accuracy:0.7758928571428572
Epoch 46
Validation accuracy:0.7287853577371048
Testing accuracy:0.7803571428571429
Epoch 47
Validation accuracy:0.7304492512479202
Testing accuracy:0.7785714285714286
Epoch 48
Validation accuracy:0.7154742096505824
Testing accuracy:0.7785714285714286
Epoch 49
Validation accuracy:0.7237936772046589
Testing accuracy:0.7776785714285714
