Start Experiment
Epoch 0
Validation accuracy:0.5940099833610649
Testing accuracy:0.6845397676496873
Epoch 1
Validation accuracy:0.6356073211314476
Testing accuracy:0.7131367292225201
Epoch 2
Validation accuracy:0.6605657237936772
Testing accuracy:0.7310098302055407
Epoch 3
Validation accuracy:0.6505823627287853
Testing accuracy:0.7238605898123325
Epoch 4
Validation accuracy:0.6439267886855241
Testing accuracy:0.7149240393208222
Epoch 5
Validation accuracy:0.6572379367720466
Testing accuracy:0.7292225201072386
Epoch 6
Validation accuracy:0.64891846921797
Testing accuracy:0.7193923145665773
Epoch 7
Validation accuracy:0.6638935108153078
Testing accuracy:0.7372654155495979
Epoch 8
Validation accuracy:0.6738768718801996
Testing accuracy:0.739946380697051
Epoch 9
Validation accuracy:0.6572379367720466
Testing accuracy:0.7301161751563896
Epoch 10
Validation accuracy:0.6572379367720466
Testing accuracy:0.7238605898123325
Epoch 11
Validation accuracy:0.6672212978369384
Testing accuracy:0.7381590705987489
Epoch 12
Validation accuracy:0.6838602329450915
Testing accuracy:0.7551385165326184
Epoch 13
Validation accuracy:0.6855241264559068
Testing accuracy:0.7408400357462019
Epoch 14
Validation accuracy:0.6722129783693843
Testing accuracy:0.7479892761394102
Epoch 15
Validation accuracy:0.6605657237936772
Testing accuracy:0.7283288650580876
Epoch 16
Validation accuracy:0.6805324459234608
Testing accuracy:0.7453083109919572
Epoch 17
Validation accuracy:0.6755407653910149
Testing accuracy:0.7381590705987489
Epoch 18
Validation accuracy:0.6638935108153078
Testing accuracy:0.7426273458445041
Epoch 19
Validation accuracy:0.6672212978369384
Testing accuracy:0.7336907953529938
Epoch 20
Validation accuracy:0.6672212978369384
Testing accuracy:0.7479892761394102
Epoch 21
Validation accuracy:0.670549084858569
Testing accuracy:0.7426273458445041
Epoch 22
Validation accuracy:0.6722129783693843
Testing accuracy:0.7372654155495979
Epoch 23
Validation accuracy:0.6722129783693843
Testing accuracy:0.7363717605004468
Epoch 24
Validation accuracy:0.6688851913477537
Testing accuracy:0.7292225201072386
