[line: 164] Namespace(C1=0.1, C2=0.001, adjust_every=8, arch='ParseGCNNSent', batch_size=32, clip_norm=3, config='cfgs/config_parse_gcnn_glove.yaml', data_path='data/generated_data/', dic_path='data/generated_data/vocab/dict.pkl', dropout=0.5, e=False, elmo_config_file='../data/Elmo/elmo_2x4096_512_2048cnn_2xhighway_options.json', elmo_weight_file='../data/Elmo/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5', embed_dim=300, embed_num=5091, embed_path='data/generated_data/vocab/local_emb.pkl', epoch=30, exp_name='parse_gcnn_glove', finetune_embed=False, if_gpu=True, if_replace=False, if_reset=True, if_update_embed=True, is_stanford_nlp=True, k_fold=6, l2=0.001, l_dropout=0.1, l_hidden_size=256, l_num_layers=2, load_path='', log_path='data/logs/', lr=0.0005, mask_dim=50, model_path='data/models/', opt='Adam', pretrained_embed_path='../data/glove.840B.300d.txt', print_freq=10, snapshot_dir='checkpoints/', test_path='data/generated_data/Restaurants_Test_Gold.xml.pkl', train_path='data/generated_data/train.pkl', training=True, use_gpu=True, valid_path='data/generated_data/valid.pkl')
[line: 168] config           cfgs/config_parse_gcnn_glove.yaml
[line: 168] load_path        
[line: 168] e                False
[line: 168] exp_name         parse_gcnn_glove
[line: 168] arch             ParseGCNNSent
[line: 168] batch_size       32
[line: 168] embed_num        5091
[line: 168] embed_dim        300
[line: 168] mask_dim         50
[line: 168] if_update_embed  True
[line: 168] l_hidden_size    256
[line: 168] l_num_layers     2
[line: 168] l_dropout        0.1
[line: 168] C1               0.1
[line: 168] C2               0.001
[line: 168] if_reset         True
[line: 168] opt              Adam
[line: 168] dropout          0.5
[line: 168] epoch            30
[line: 168] lr               0.0005
[line: 168] l2               0.001
[line: 168] adjust_every     8
[line: 168] clip_norm        3
[line: 168] k_fold           6
[line: 168] print_freq       10
[line: 168] finetune_embed   False
[line: 168] if_replace       False
[line: 168] training         True
[line: 168] if_gpu           True
[line: 168] use_gpu          True
[line: 168] pretrained_embed_path ../data/glove.840B.300d.txt
[line: 168] embed_path       data/generated_data/vocab/local_emb.pkl
[line: 168] data_path        data/generated_data/
[line: 168] train_path       data/generated_data/train.pkl
[line: 168] valid_path       data/generated_data/valid.pkl
[line: 168] test_path        data/generated_data/Restaurants_Test_Gold.xml.pkl
[line: 168] dic_path         data/generated_data/vocab/dict.pkl
[line: 168] model_path       data/models/
[line: 168] log_path         data/logs/
[line: 168] is_stanford_nlp  True
[line: 168] elmo_config_file ../data/Elmo/elmo_2x4096_512_2048cnn_2xhighway_options.json
[line: 168] elmo_weight_file ../data/Elmo/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5
[line: 168] snapshot_dir     checkpoints/
[line: 185] Training Samples: 3001
[line: 186] Validating Samples: 601
[line: 187] Testing Samples: 1120
[line:  83] Start Experiment
[line:  98] i_iter 1/93 cls_loss: 1.085172
[line:  98] i_iter 2/93 cls_loss: 1.079017
[line:  98] i_iter 3/93 cls_loss: 1.076646
[line:  98] i_iter 4/93 cls_loss: 1.075315
[line:  98] i_iter 5/93 cls_loss: 1.065874
[line:  98] i_iter 6/93 cls_loss: 1.063314
[line:  98] i_iter 7/93 cls_loss: 1.051749
[line:  98] i_iter 8/93 cls_loss: 1.033973
[line:  98] i_iter 9/93 cls_loss: 1.033815
[line:  98] i_iter 11/93 cls_loss: 0.988063
[line:  98] i_iter 12/93 cls_loss: 0.967272
[line:  98] i_iter 13/93 cls_loss: 0.985669
[line:  98] i_iter 14/93 cls_loss: 0.978348
[line:  98] i_iter 15/93 cls_loss: 0.968619
[line:  98] i_iter 16/93 cls_loss: 0.940937
[line:  98] i_iter 17/93 cls_loss: 0.934811
[line:  98] i_iter 18/93 cls_loss: 0.932270
[line:  98] i_iter 19/93 cls_loss: 0.918138
[line:  98] i_iter 21/93 cls_loss: 0.943861
[line:  98] i_iter 22/93 cls_loss: 0.936771
[line:  98] i_iter 23/93 cls_loss: 0.911971
[line:  98] i_iter 24/93 cls_loss: 0.921253
[line:  98] i_iter 25/93 cls_loss: 0.931219
